,상품번호,랭킹,상품명,옵션,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
1,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회200g,11900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=OSW44mrkrH9F9N%2BY702WSv%2F%2F%2Fw%3D%3DspkGq8qk%2B6AURQjEgiDhcnj%2FcD4gQegxw%2BRuM8%2BYLpaBkHQYrEb4H4Di%2Fe%2BFcE%2BvHYkujvsqKMWJRYofRJhP1kgUBeQVmCD9n3Kz6aMRL5RxVXemfpmeX70wC2wQT5nyiBte2Da%2BcRSMmzTx7XU%2B5wE3nA4G6GS3jhmghuoaLZSr%2F2Cb2rbZqRSYN1GO2EGFBtsgQFx%2FBjeewfS0uS4e4VruVw3GdaDAvxDSjC3cnt2Z%2F22ms%2BW8TiQQNz%2FOHMMFF4gX1zPiszwRUQH3y%2FWOer77Kdc5DhehkeETZ2x0p6ihVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv5lvxafQZ3vXUCRdHhgPGcmS07mZiDakTBogfyo6q9pWtqHtwa5toZRJGf%2FxebAOEjij6RpUexB4YzU3GP5Trr%2FN81WjUpxJVJrN5mDsz4BpRxd0Rg8qtwr6BwVSDOBqR8L%2FQoIoOATy0XPNhFoFVzFe0xL4KZJLD2HOyJG8ZeRu6lH6QqVJ0vkk%2BrNtfocIjsdvo4zA9sdMB6Dwpln3jvTI4pZcZKRPBXEAJ%2Bh1MGQYo8MxzMBu1e0RwRs0UDNWwHBnp%2FcwuWasVG6E%2BOs9xyHExYPvQlX4XkjfJ8OF2SQOMrUO%2BaDbjzUpY16KQaM%2BnD8wxIBQn2meSlqInUQds3YDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=84204919892&catId=50004654
2,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회400g (+10000원),21900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=OSW44mrkrH9F9N%2BY702WSv%2F%2F%2Fw%3D%3DspkGq8qk%2B6AURQjEgiDhcnj%2FcD4gQegxw%2BRuM8%2BYLpaBkHQYrEb4H4Di%2Fe%2BFcE%2BvHYkujvsqKMWJRYofRJhP1kgUBeQVmCD9n3Kz6aMRL5RxVXemfpmeX70wC2wQT5nyiBte2Da%2BcRSMmzTx7XU%2B5wE3nA4G6GS3jhmghuoaLZSr%2F2Cb2rbZqRSYN1GO2EGFBtsgQFx%2FBjeewfS0uS4e4VruVw3GdaDAvxDSjC3cnt2Z%2F22ms%2BW8TiQQNz%2FOHMMFF4gX1zPiszwRUQH3y%2FWOer77Kdc5DhehkeETZ2x0p6ihVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv5lvxafQZ3vXUCRdHhgPGcmS07mZiDakTBogfyo6q9pWtqHtwa5toZRJGf%2FxebAOEjij6RpUexB4YzU3GP5Trr%2FN81WjUpxJVJrN5mDsz4BpRxd0Rg8qtwr6BwVSDOBqR8L%2FQoIoOATy0XPNhFoFVzFe0xL4KZJLD2HOyJG8ZeRu6lH6QqVJ0vkk%2BrNtfocIjsdvo4zA9sdMB6Dwpln3jvTI4pZcZKRPBXEAJ%2Bh1MGQYo8MxzMBu1e0RwRs0UDNWwHBnp%2FcwuWasVG6E%2BOs9xyHExYPvQlX4XkjfJ8OF2SQOMrUO%2BaDbjzUpY16KQaM%2BnD8wxIBQn2meSlqInUQds3YDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=84204919892&catId=50004654
3,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회600g (+20000원),31900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=OSW44mrkrH9F9N%2BY702WSv%2F%2F%2Fw%3D%3DspkGq8qk%2B6AURQjEgiDhcnj%2FcD4gQegxw%2BRuM8%2BYLpaBkHQYrEb4H4Di%2Fe%2BFcE%2BvHYkujvsqKMWJRYofRJhP1kgUBeQVmCD9n3Kz6aMRL5RxVXemfpmeX70wC2wQT5nyiBte2Da%2BcRSMmzTx7XU%2B5wE3nA4G6GS3jhmghuoaLZSr%2F2Cb2rbZqRSYN1GO2EGFBtsgQFx%2FBjeewfS0uS4e4VruVw3GdaDAvxDSjC3cnt2Z%2F22ms%2BW8TiQQNz%2FOHMMFF4gX1zPiszwRUQH3y%2FWOer77Kdc5DhehkeETZ2x0p6ihVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv5lvxafQZ3vXUCRdHhgPGcmS07mZiDakTBogfyo6q9pWtqHtwa5toZRJGf%2FxebAOEjij6RpUexB4YzU3GP5Trr%2FN81WjUpxJVJrN5mDsz4BpRxd0Rg8qtwr6BwVSDOBqR8L%2FQoIoOATy0XPNhFoFVzFe0xL4KZJLD2HOyJG8ZeRu6lH6QqVJ0vkk%2BrNtfocIjsdvo4zA9sdMB6Dwpln3jvTI4pZcZKRPBXEAJ%2Bh1MGQYo8MxzMBu1e0RwRs0UDNWwHBnp%2FcwuWasVG6E%2BOs9xyHExYPvQlX4XkjfJ8OF2SQOMrUO%2BaDbjzUpY16KQaM%2BnD8wxIBQn2meSlqInUQds3YDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=84204919892&catId=50004654
4,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)200g (+1000원),12900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=OSW44mrkrH9F9N%2BY702WSv%2F%2F%2Fw%3D%3DspkGq8qk%2B6AURQjEgiDhcnj%2FcD4gQegxw%2BRuM8%2BYLpaBkHQYrEb4H4Di%2Fe%2BFcE%2BvHYkujvsqKMWJRYofRJhP1kgUBeQVmCD9n3Kz6aMRL5RxVXemfpmeX70wC2wQT5nyiBte2Da%2BcRSMmzTx7XU%2B5wE3nA4G6GS3jhmghuoaLZSr%2F2Cb2rbZqRSYN1GO2EGFBtsgQFx%2FBjeewfS0uS4e4VruVw3GdaDAvxDSjC3cnt2Z%2F22ms%2BW8TiQQNz%2FOHMMFF4gX1zPiszwRUQH3y%2FWOer77Kdc5DhehkeETZ2x0p6ihVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv5lvxafQZ3vXUCRdHhgPGcmS07mZiDakTBogfyo6q9pWtqHtwa5toZRJGf%2FxebAOEjij6RpUexB4YzU3GP5Trr%2FN81WjUpxJVJrN5mDsz4BpRxd0Rg8qtwr6BwVSDOBqR8L%2FQoIoOATy0XPNhFoFVzFe0xL4KZJLD2HOyJG8ZeRu6lH6QqVJ0vkk%2BrNtfocIjsdvo4zA9sdMB6Dwpln3jvTI4pZcZKRPBXEAJ%2Bh1MGQYo8MxzMBu1e0RwRs0UDNWwHBnp%2FcwuWasVG6E%2BOs9xyHExYPvQlX4XkjfJ8OF2SQOMrUO%2BaDbjzUpY16KQaM%2BnD8wxIBQn2meSlqInUQds3YDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=84204919892&catId=50004654
5,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)400g (+11000원),22900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=OSW44mrkrH9F9N%2BY702WSv%2F%2F%2Fw%3D%3DspkGq8qk%2B6AURQjEgiDhcnj%2FcD4gQegxw%2BRuM8%2BYLpaBkHQYrEb4H4Di%2Fe%2BFcE%2BvHYkujvsqKMWJRYofRJhP1kgUBeQVmCD9n3Kz6aMRL5RxVXemfpmeX70wC2wQT5nyiBte2Da%2BcRSMmzTx7XU%2B5wE3nA4G6GS3jhmghuoaLZSr%2F2Cb2rbZqRSYN1GO2EGFBtsgQFx%2FBjeewfS0uS4e4VruVw3GdaDAvxDSjC3cnt2Z%2F22ms%2BW8TiQQNz%2FOHMMFF4gX1zPiszwRUQH3y%2FWOer77Kdc5DhehkeETZ2x0p6ihVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv5lvxafQZ3vXUCRdHhgPGcmS07mZiDakTBogfyo6q9pWtqHtwa5toZRJGf%2FxebAOEjij6RpUexB4YzU3GP5Trr%2FN81WjUpxJVJrN5mDsz4BpRxd0Rg8qtwr6BwVSDOBqR8L%2FQoIoOATy0XPNhFoFVzFe0xL4KZJLD2HOyJG8ZeRu6lH6QqVJ0vkk%2BrNtfocIjsdvo4zA9sdMB6Dwpln3jvTI4pZcZKRPBXEAJ%2Bh1MGQYo8MxzMBu1e0RwRs0UDNWwHBnp%2FcwuWasVG6E%2BOs9xyHExYPvQlX4XkjfJ8OF2SQOMrUO%2BaDbjzUpY16KQaM%2BnD8wxIBQn2meSlqInUQds3YDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=84204919892&catId=50004654
6,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)600g (+23000원),34900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=OSW44mrkrH9F9N%2BY702WSv%2F%2F%2Fw%3D%3DspkGq8qk%2B6AURQjEgiDhcnj%2FcD4gQegxw%2BRuM8%2BYLpaBkHQYrEb4H4Di%2Fe%2BFcE%2BvHYkujvsqKMWJRYofRJhP1kgUBeQVmCD9n3Kz6aMRL5RxVXemfpmeX70wC2wQT5nyiBte2Da%2BcRSMmzTx7XU%2B5wE3nA4G6GS3jhmghuoaLZSr%2F2Cb2rbZqRSYN1GO2EGFBtsgQFx%2FBjeewfS0uS4e4VruVw3GdaDAvxDSjC3cnt2Z%2F22ms%2BW8TiQQNz%2FOHMMFF4gX1zPiszwRUQH3y%2FWOer77Kdc5DhehkeETZ2x0p6ihVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv5lvxafQZ3vXUCRdHhgPGcmS07mZiDakTBogfyo6q9pWtqHtwa5toZRJGf%2FxebAOEjij6RpUexB4YzU3GP5Trr%2FN81WjUpxJVJrN5mDsz4BpRxd0Rg8qtwr6BwVSDOBqR8L%2FQoIoOATy0XPNhFoFVzFe0xL4KZJLD2HOyJG8ZeRu6lH6QqVJ0vkk%2BrNtfocIjsdvo4zA9sdMB6Dwpln3jvTI4pZcZKRPBXEAJ%2Bh1MGQYo8MxzMBu1e0RwRs0UDNWwHBnp%2FcwuWasVG6E%2BOs9xyHExYPvQlX4XkjfJ8OF2SQOMrUO%2BaDbjzUpY16KQaM%2BnD8wxIBQn2meSlqInUQds3YDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=84204919892&catId=50004654
7,4762993608.0,2,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 250g 오전9시마감(다음영업일출고),21800,7740.0,4030.0,1527,1,솔직한농부,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=ZA4sc14lXVcIVm0K7J0W5%2F%2F%2F%2Fw%3D%3DsDkh7k0guViMk672GHWw6%2Bw9LMn4yAb%2B5Kym9xYs7gPv4XXVZtA%2BU4hm8ANjkX%2BlZaFKlOCUYwPWAKAOKUAhAZ6d0GRuLFxDM%2BfqMQw09CQ%2B54J8UO7LDGXdPU9Do8oyM%2BUMsZr7MfVU%2B4cFbJufs9RiEwDXzrbjVgxUCKupYV3NmcwUUHUvZLop%2B285s98ffEm5d36tg1639NxRwevale7zg5LotibZWs96FaOW7%2BneOP0oYFbr1kQPfR4PYNcaQB3h0lBkrZuuAZMqpTlL8FDJryPqsD58g4IZrQ6X5DOO54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyI4ebNq0l0fbMtm7dWDLnhvK9D3Zuw4Zunn0Iy3GAijCAbWnbEXzrP9nTOtX6d%2FrCNfofuLqo7TpM8%2FwX9vs7ejLmjQKs0S19%2FfIQif3ZM%2F%2FK6bfslNnjMbRuKq2bdplDAg1Qyy3Tg%2FkuXU6v9K%2FTOwKL7m39nWVxOtzobzLnNMpAatJvgpU%2FwIW65vi5EBpDFG7E1CLkJSH7utJrX36L8x%2F0hIuhvM6irA3kVOIjOOioGnua3LzU10KW6jeeNph8jbOCQe5IcQCQ%2FEYR%2Fk0zyOfjNKtc%2FRur3a9jFJbrJcPRQJtdexwD9fufi24mQzBkAxWhd%2Bbluxs6YW92EL8Eefke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=82307515528&catId=50004654
8,4762993608.0,2,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 250g 1.월출고 화도착,21800,7740.0,4030.0,1527,1,솔직한농부,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=ZA4sc14lXVcIVm0K7J0W5%2F%2F%2F%2Fw%3D%3DsDkh7k0guViMk672GHWw6%2Bw9LMn4yAb%2B5Kym9xYs7gPv4XXVZtA%2BU4hm8ANjkX%2BlZaFKlOCUYwPWAKAOKUAhAZ6d0GRuLFxDM%2BfqMQw09CQ%2B54J8UO7LDGXdPU9Do8oyM%2BUMsZr7MfVU%2B4cFbJufs9RiEwDXzrbjVgxUCKupYV3NmcwUUHUvZLop%2B285s98ffEm5d36tg1639NxRwevale7zg5LotibZWs96FaOW7%2BneOP0oYFbr1kQPfR4PYNcaQB3h0lBkrZuuAZMqpTlL8FDJryPqsD58g4IZrQ6X5DOO54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyI4ebNq0l0fbMtm7dWDLnhvK9D3Zuw4Zunn0Iy3GAijCAbWnbEXzrP9nTOtX6d%2FrCNfofuLqo7TpM8%2FwX9vs7ejLmjQKs0S19%2FfIQif3ZM%2F%2FK6bfslNnjMbRuKq2bdplDAg1Qyy3Tg%2FkuXU6v9K%2FTOwKL7m39nWVxOtzobzLnNMpAatJvgpU%2FwIW65vi5EBpDFG7E1CLkJSH7utJrX36L8x%2F0hIuhvM6irA3kVOIjOOioGnua3LzU10KW6jeeNph8jbOCQe5IcQCQ%2FEYR%2Fk0zyOfjNKtc%2FRur3a9jFJbrJcPRQJtdexwD9fufi24mQzBkAxWhd%2Bbluxs6YW92EL8Eefke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=82307515528&catId=50004654
9,4762993608.0,2,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 250g 2.화출고 수도착,21800,7740.0,4030.0,1527,1,솔직한농부,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=ZA4sc14lXVcIVm0K7J0W5%2F%2F%2F%2Fw%3D%3DsDkh7k0guViMk672GHWw6%2Bw9LMn4yAb%2B5Kym9xYs7gPv4XXVZtA%2BU4hm8ANjkX%2BlZaFKlOCUYwPWAKAOKUAhAZ6d0GRuLFxDM%2BfqMQw09CQ%2B54J8UO7LDGXdPU9Do8oyM%2BUMsZr7MfVU%2B4cFbJufs9RiEwDXzrbjVgxUCKupYV3NmcwUUHUvZLop%2B285s98ffEm5d36tg1639NxRwevale7zg5LotibZWs96FaOW7%2BneOP0oYFbr1kQPfR4PYNcaQB3h0lBkrZuuAZMqpTlL8FDJryPqsD58g4IZrQ6X5DOO54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyI4ebNq0l0fbMtm7dWDLnhvK9D3Zuw4Zunn0Iy3GAijCAbWnbEXzrP9nTOtX6d%2FrCNfofuLqo7TpM8%2FwX9vs7ejLmjQKs0S19%2FfIQif3ZM%2F%2FK6bfslNnjMbRuKq2bdplDAg1Qyy3Tg%2FkuXU6v9K%2FTOwKL7m39nWVxOtzobzLnNMpAatJvgpU%2FwIW65vi5EBpDFG7E1CLkJSH7utJrX36L8x%2F0hIuhvM6irA3kVOIjOOioGnua3LzU10KW6jeeNph8jbOCQe5IcQCQ%2FEYR%2Fk0zyOfjNKtc%2FRur3a9jFJbrJcPRQJtdexwD9fufi24mQzBkAxWhd%2Bbluxs6YW92EL8Eefke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=82307515528&catId=50004654
10,4762993608.0,2,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 250g 3.수출고 목도착,21800,7740.0,4030.0,1527,1,솔직한농부,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=ZA4sc14lXVcIVm0K7J0W5%2F%2F%2F%2Fw%3D%3DsDkh7k0guViMk672GHWw6%2Bw9LMn4yAb%2B5Kym9xYs7gPv4XXVZtA%2BU4hm8ANjkX%2BlZaFKlOCUYwPWAKAOKUAhAZ6d0GRuLFxDM%2BfqMQw09CQ%2B54J8UO7LDGXdPU9Do8oyM%2BUMsZr7MfVU%2B4cFbJufs9RiEwDXzrbjVgxUCKupYV3NmcwUUHUvZLop%2B285s98ffEm5d36tg1639NxRwevale7zg5LotibZWs96FaOW7%2BneOP0oYFbr1kQPfR4PYNcaQB3h0lBkrZuuAZMqpTlL8FDJryPqsD58g4IZrQ6X5DOO54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyI4ebNq0l0fbMtm7dWDLnhvK9D3Zuw4Zunn0Iy3GAijCAbWnbEXzrP9nTOtX6d%2FrCNfofuLqo7TpM8%2FwX9vs7ejLmjQKs0S19%2FfIQif3ZM%2F%2FK6bfslNnjMbRuKq2bdplDAg1Qyy3Tg%2FkuXU6v9K%2FTOwKL7m39nWVxOtzobzLnNMpAatJvgpU%2FwIW65vi5EBpDFG7E1CLkJSH7utJrX36L8x%2F0hIuhvM6irA3kVOIjOOioGnua3LzU10KW6jeeNph8jbOCQe5IcQCQ%2FEYR%2Fk0zyOfjNKtc%2FRur3a9jFJbrJcPRQJtdexwD9fufi24mQzBkAxWhd%2Bbluxs6YW92EL8Eefke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=82307515528&catId=50004654
