index,랭킹,상품명,옵션,가격,중량,타입,리뷰,구매건수,찜하기,쇼핑몰,배송비,100g당_가격,배송비포함_가격,100g당_배송비포함_가격
1,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회200g,11900,200,1,28,65,34,전라도청년,3000,5950,14900,7450
2,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회400g (+10000원),21900,400,1,28,65,34,전라도청년,3000,5475,24900,6225
3,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회600g (+20000원),31900,600,1,28,65,34,전라도청년,3000,5317,34900,5817
4,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)200g (+1000원),12900,200,2,28,65,34,전라도청년,3000,6450,15900,7950
5,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)400g (+11000원),22900,400,2,28,65,34,전라도청년,3000,5725,25900,6475
6,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)600g (+23000원),34900,600,2,28,65,34,전라도청년,3000,5817,37900,6317
7,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,1. 뭉티기 200g,14900,200,2,155,276,303,성수동클래식,3500,7450,18400,9200
8,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,2. 뭉티기 400g (+11000원),25900,400,2,155,276,303,성수동클래식,3500,6475,29400,7350
9,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,3. 뭉티기 600g (+22700원),37600,600,2,155,276,303,성수동클래식,3500,6267,41100,6850
10,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,4. 육회 200g (-1000원),13900,200,1,155,276,303,성수동클래식,3500,6950,17400,8700
11,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,5. 육회 400g (+9400원),24300,400,1,155,276,303,성수동클래식,3500,6075,27800,6950
12,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,6. 육회 600g (+20000원),34900,600,1,155,276,303,성수동클래식,3500,5817,38400,6400
13,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,7. 뭉티기200g+육회200g (1-2인분) (+13100원),28000,400,3,155,276,303,성수동클래식,3500,7000,31500,7875
