,상품번호,랭킹,상품명,옵션,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
1,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회200g,11900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=AQ9l2yysoIcXikVay6C2uP%2F%2F%2Fw%3D%3DsydcQgrXAWB%2BbzXeQnNmRSj%2FcD4gQegxw%2BRuM8%2BYLpaDVgDNrJ2WlzBl62rd8y%2BCy%2FOVuMe1WSeTtNU5Kcci4LEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27bPMeT5yTbsXCDJE%2FvyTJs2fc%2BxtC4sP8wcTpBRCecCWgPTzzeHD1NxMznpB2xQBaMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7QwD0JzeLT91h99hl%2Bpw9VAwRcBgpPbSXOkyXZN%2FVQy4JFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtarjxd9K%2FVm83SnlZWmk5qPDuilHni6pzCkCUmo5ZeHWKIEPy9huh9JNuR6eleqJXkFO7DN8tHEtdtvwLLk%2BG%2FJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrI%2FZGuCV3RhaocMdMA5spDTk0AwL%2F9btFbKXSG13TZlGYHogWsDEMaRfkGlnoD9OG8oBADA%2BrQTD50UZPWSs%2FViIGoMor6uZBiC9jcxa9uoaIOuAKV6RXG1Is03XJLviBcRhyhTJNp%2F1XbkDxwKyyyBGw7OpxRIyf1AgDMbX%2FtVoH1iN7vuKcT8yGhbSJDcx7toaKZHilHbuauHUigNM5KA&nvMid=84204919892&catId=50004654
2,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회400g (+10000원),21900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=AQ9l2yysoIcXikVay6C2uP%2F%2F%2Fw%3D%3DsydcQgrXAWB%2BbzXeQnNmRSj%2FcD4gQegxw%2BRuM8%2BYLpaDVgDNrJ2WlzBl62rd8y%2BCy%2FOVuMe1WSeTtNU5Kcci4LEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27bPMeT5yTbsXCDJE%2FvyTJs2fc%2BxtC4sP8wcTpBRCecCWgPTzzeHD1NxMznpB2xQBaMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7QwD0JzeLT91h99hl%2Bpw9VAwRcBgpPbSXOkyXZN%2FVQy4JFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtarjxd9K%2FVm83SnlZWmk5qPDuilHni6pzCkCUmo5ZeHWKIEPy9huh9JNuR6eleqJXkFO7DN8tHEtdtvwLLk%2BG%2FJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrI%2FZGuCV3RhaocMdMA5spDTk0AwL%2F9btFbKXSG13TZlGYHogWsDEMaRfkGlnoD9OG8oBADA%2BrQTD50UZPWSs%2FViIGoMor6uZBiC9jcxa9uoaIOuAKV6RXG1Is03XJLviBcRhyhTJNp%2F1XbkDxwKyyyBGw7OpxRIyf1AgDMbX%2FtVoH1iN7vuKcT8yGhbSJDcx7toaKZHilHbuauHUigNM5KA&nvMid=84204919892&catId=50004654
3,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회600g (+20000원),31900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=AQ9l2yysoIcXikVay6C2uP%2F%2F%2Fw%3D%3DsydcQgrXAWB%2BbzXeQnNmRSj%2FcD4gQegxw%2BRuM8%2BYLpaDVgDNrJ2WlzBl62rd8y%2BCy%2FOVuMe1WSeTtNU5Kcci4LEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27bPMeT5yTbsXCDJE%2FvyTJs2fc%2BxtC4sP8wcTpBRCecCWgPTzzeHD1NxMznpB2xQBaMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7QwD0JzeLT91h99hl%2Bpw9VAwRcBgpPbSXOkyXZN%2FVQy4JFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtarjxd9K%2FVm83SnlZWmk5qPDuilHni6pzCkCUmo5ZeHWKIEPy9huh9JNuR6eleqJXkFO7DN8tHEtdtvwLLk%2BG%2FJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrI%2FZGuCV3RhaocMdMA5spDTk0AwL%2F9btFbKXSG13TZlGYHogWsDEMaRfkGlnoD9OG8oBADA%2BrQTD50UZPWSs%2FViIGoMor6uZBiC9jcxa9uoaIOuAKV6RXG1Is03XJLviBcRhyhTJNp%2F1XbkDxwKyyyBGw7OpxRIyf1AgDMbX%2FtVoH1iN7vuKcT8yGhbSJDcx7toaKZHilHbuauHUigNM5KA&nvMid=84204919892&catId=50004654
4,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)200g (+1000원),12900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=AQ9l2yysoIcXikVay6C2uP%2F%2F%2Fw%3D%3DsydcQgrXAWB%2BbzXeQnNmRSj%2FcD4gQegxw%2BRuM8%2BYLpaDVgDNrJ2WlzBl62rd8y%2BCy%2FOVuMe1WSeTtNU5Kcci4LEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27bPMeT5yTbsXCDJE%2FvyTJs2fc%2BxtC4sP8wcTpBRCecCWgPTzzeHD1NxMznpB2xQBaMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7QwD0JzeLT91h99hl%2Bpw9VAwRcBgpPbSXOkyXZN%2FVQy4JFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtarjxd9K%2FVm83SnlZWmk5qPDuilHni6pzCkCUmo5ZeHWKIEPy9huh9JNuR6eleqJXkFO7DN8tHEtdtvwLLk%2BG%2FJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrI%2FZGuCV3RhaocMdMA5spDTk0AwL%2F9btFbKXSG13TZlGYHogWsDEMaRfkGlnoD9OG8oBADA%2BrQTD50UZPWSs%2FViIGoMor6uZBiC9jcxa9uoaIOuAKV6RXG1Is03XJLviBcRhyhTJNp%2F1XbkDxwKyyyBGw7OpxRIyf1AgDMbX%2FtVoH1iN7vuKcT8yGhbSJDcx7toaKZHilHbuauHUigNM5KA&nvMid=84204919892&catId=50004654
5,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)400g (+11000원),22900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=AQ9l2yysoIcXikVay6C2uP%2F%2F%2Fw%3D%3DsydcQgrXAWB%2BbzXeQnNmRSj%2FcD4gQegxw%2BRuM8%2BYLpaDVgDNrJ2WlzBl62rd8y%2BCy%2FOVuMe1WSeTtNU5Kcci4LEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27bPMeT5yTbsXCDJE%2FvyTJs2fc%2BxtC4sP8wcTpBRCecCWgPTzzeHD1NxMznpB2xQBaMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7QwD0JzeLT91h99hl%2Bpw9VAwRcBgpPbSXOkyXZN%2FVQy4JFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtarjxd9K%2FVm83SnlZWmk5qPDuilHni6pzCkCUmo5ZeHWKIEPy9huh9JNuR6eleqJXkFO7DN8tHEtdtvwLLk%2BG%2FJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrI%2FZGuCV3RhaocMdMA5spDTk0AwL%2F9btFbKXSG13TZlGYHogWsDEMaRfkGlnoD9OG8oBADA%2BrQTD50UZPWSs%2FViIGoMor6uZBiC9jcxa9uoaIOuAKV6RXG1Is03XJLviBcRhyhTJNp%2F1XbkDxwKyyyBGw7OpxRIyf1AgDMbX%2FtVoH1iN7vuKcT8yGhbSJDcx7toaKZHilHbuauHUigNM5KA&nvMid=84204919892&catId=50004654
6,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)600g (+23000원),34900,28.0,65.0,34,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=AQ9l2yysoIcXikVay6C2uP%2F%2F%2Fw%3D%3DsydcQgrXAWB%2BbzXeQnNmRSj%2FcD4gQegxw%2BRuM8%2BYLpaDVgDNrJ2WlzBl62rd8y%2BCy%2FOVuMe1WSeTtNU5Kcci4LEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27bPMeT5yTbsXCDJE%2FvyTJs2fc%2BxtC4sP8wcTpBRCecCWgPTzzeHD1NxMznpB2xQBaMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7QwD0JzeLT91h99hl%2Bpw9VAwRcBgpPbSXOkyXZN%2FVQy4JFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtarjxd9K%2FVm83SnlZWmk5qPDuilHni6pzCkCUmo5ZeHWKIEPy9huh9JNuR6eleqJXkFO7DN8tHEtdtvwLLk%2BG%2FJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrI%2FZGuCV3RhaocMdMA5spDTk0AwL%2F9btFbKXSG13TZlGYHogWsDEMaRfkGlnoD9OG8oBADA%2BrQTD50UZPWSs%2FViIGoMor6uZBiC9jcxa9uoaIOuAKV6RXG1Is03XJLviBcRhyhTJNp%2F1XbkDxwKyyyBGw7OpxRIyf1AgDMbX%2FtVoH1iN7vuKcT8yGhbSJDcx7toaKZHilHbuauHUigNM5KA&nvMid=84204919892&catId=50004654
7,6174273536.0,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,1. 뭉티기 200g,14900,155.0,276.0,303,1,성수동클래식,3500,육회용,"우둔, 기타",200g,,https://cr.shopping.naver.com/adcr.nhn?x=SyRJy1Oj1JKT4VeaDQOijP%2F%2F%2Fw%3D%3Dsd3kJGYp5yEN3a70kbUUrg9dljimPYwqC8YNwTLkAhXPVgDNrJ2WlzBl62rd8y%2BCyzAM0RMcRsHLzm0pUcGlZfUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27bPMeT5yTbsXCDJE%2FvyTJs2fc%2BxtC4sP8wcTpBRCecCWgPTzzeHD1NxMznpB2xQBaMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO6ZrGXMikx05idq9NOwC8NEFmzzBLRxqjxjjR1xSGuj0YJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNoWtDXW1voMc7BM%2Fv8KBx%2FIQhOhFV9J%2Fe7a05hV3LUUIKIEPy9huh9JNuR6eleqJXn6KdgS84LRMgShjR4vOU7LSQJBUg%2B2Ms1jMl%2FafIbuUO0MiaVwe0imH8y%2BDxw4zgPRbMkrIpG9%2BTcX%2B86RXkZZ7TnmsP7jIcAhOT4mUxPXH8VBoCjctPwc5LE95zLCT4UG9qI91zTaO7FyMcadEqyEKuRYkjM4e4Ja%2BkYhixzj1q%2B1QG9%2BhKxA%2B8QzplZRlOkN6mpFfcSJgiTQ%2Fxk5Zjs6AzJGid95PGC3jynzT9%2FYEjRX3Hv6yIjNVPelDu%2Fz97A4SwcLvxUEucVmH%2BcOht40%3D&nvMid=83718773113&catId=50004654
8,6174273536.0,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,2. 뭉티기 400g (+11000원),25900,155.0,276.0,303,1,성수동클래식,3500,육회용,"우둔, 기타",200g,,https://cr.shopping.naver.com/adcr.nhn?x=SyRJy1Oj1JKT4VeaDQOijP%2F%2F%2Fw%3D%3Dsd3kJGYp5yEN3a70kbUUrg9dljimPYwqC8YNwTLkAhXPVgDNrJ2WlzBl62rd8y%2BCyzAM0RMcRsHLzm0pUcGlZfUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27bPMeT5yTbsXCDJE%2FvyTJs2fc%2BxtC4sP8wcTpBRCecCWgPTzzeHD1NxMznpB2xQBaMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO6ZrGXMikx05idq9NOwC8NEFmzzBLRxqjxjjR1xSGuj0YJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNoWtDXW1voMc7BM%2Fv8KBx%2FIQhOhFV9J%2Fe7a05hV3LUUIKIEPy9huh9JNuR6eleqJXn6KdgS84LRMgShjR4vOU7LSQJBUg%2B2Ms1jMl%2FafIbuUO0MiaVwe0imH8y%2BDxw4zgPRbMkrIpG9%2BTcX%2B86RXkZZ7TnmsP7jIcAhOT4mUxPXH8VBoCjctPwc5LE95zLCT4UG9qI91zTaO7FyMcadEqyEKuRYkjM4e4Ja%2BkYhixzj1q%2B1QG9%2BhKxA%2B8QzplZRlOkN6mpFfcSJgiTQ%2Fxk5Zjs6AzJGid95PGC3jynzT9%2FYEjRX3Hv6yIjNVPelDu%2Fz97A4SwcLvxUEucVmH%2BcOht40%3D&nvMid=83718773113&catId=50004654
9,6174273536.0,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,3. 뭉티기 600g (+22700원),37600,155.0,276.0,303,1,성수동클래식,3500,육회용,"우둔, 기타",200g,,https://cr.shopping.naver.com/adcr.nhn?x=SyRJy1Oj1JKT4VeaDQOijP%2F%2F%2Fw%3D%3Dsd3kJGYp5yEN3a70kbUUrg9dljimPYwqC8YNwTLkAhXPVgDNrJ2WlzBl62rd8y%2BCyzAM0RMcRsHLzm0pUcGlZfUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27bPMeT5yTbsXCDJE%2FvyTJs2fc%2BxtC4sP8wcTpBRCecCWgPTzzeHD1NxMznpB2xQBaMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO6ZrGXMikx05idq9NOwC8NEFmzzBLRxqjxjjR1xSGuj0YJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNoWtDXW1voMc7BM%2Fv8KBx%2FIQhOhFV9J%2Fe7a05hV3LUUIKIEPy9huh9JNuR6eleqJXn6KdgS84LRMgShjR4vOU7LSQJBUg%2B2Ms1jMl%2FafIbuUO0MiaVwe0imH8y%2BDxw4zgPRbMkrIpG9%2BTcX%2B86RXkZZ7TnmsP7jIcAhOT4mUxPXH8VBoCjctPwc5LE95zLCT4UG9qI91zTaO7FyMcadEqyEKuRYkjM4e4Ja%2BkYhixzj1q%2B1QG9%2BhKxA%2B8QzplZRlOkN6mpFfcSJgiTQ%2Fxk5Zjs6AzJGid95PGC3jynzT9%2FYEjRX3Hv6yIjNVPelDu%2Fz97A4SwcLvxUEucVmH%2BcOht40%3D&nvMid=83718773113&catId=50004654
10,6174273536.0,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,4. 육회 200g (-1000원),13900,155.0,276.0,303,1,성수동클래식,3500,육회용,"우둔, 기타",200g,,https://cr.shopping.naver.com/adcr.nhn?x=SyRJy1Oj1JKT4VeaDQOijP%2F%2F%2Fw%3D%3Dsd3kJGYp5yEN3a70kbUUrg9dljimPYwqC8YNwTLkAhXPVgDNrJ2WlzBl62rd8y%2BCyzAM0RMcRsHLzm0pUcGlZfUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27bPMeT5yTbsXCDJE%2FvyTJs2fc%2BxtC4sP8wcTpBRCecCWgPTzzeHD1NxMznpB2xQBaMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO6ZrGXMikx05idq9NOwC8NEFmzzBLRxqjxjjR1xSGuj0YJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNoWtDXW1voMc7BM%2Fv8KBx%2FIQhOhFV9J%2Fe7a05hV3LUUIKIEPy9huh9JNuR6eleqJXn6KdgS84LRMgShjR4vOU7LSQJBUg%2B2Ms1jMl%2FafIbuUO0MiaVwe0imH8y%2BDxw4zgPRbMkrIpG9%2BTcX%2B86RXkZZ7TnmsP7jIcAhOT4mUxPXH8VBoCjctPwc5LE95zLCT4UG9qI91zTaO7FyMcadEqyEKuRYkjM4e4Ja%2BkYhixzj1q%2B1QG9%2BhKxA%2B8QzplZRlOkN6mpFfcSJgiTQ%2Fxk5Zjs6AzJGid95PGC3jynzT9%2FYEjRX3Hv6yIjNVPelDu%2Fz97A4SwcLvxUEucVmH%2BcOht40%3D&nvMid=83718773113&catId=50004654
