index,상품번호,랭킹,상품명,옵션,가격,리뷰,구매건수,찜하기,쇼핑몰,배송비,중량,100g당_가격,배송비포함_가격,100g당_배송비포함_가격,타입
1,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회200g,11900,28.0,65.0,34,전라도청년,3000,200,5950,14900,7450,1
2,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회400g (+10000원),21900,28.0,65.0,34,전라도청년,3000,400,5475,24900,6225,1
3,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회600g (+20000원),31900,28.0,65.0,34,전라도청년,3000,600,5317,34900,5817,1
4,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)200g (+1000원),12900,28.0,65.0,34,전라도청년,3000,200,6450,15900,7950,2
5,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)400g (+11000원),22900,28.0,65.0,34,전라도청년,3000,400,5725,25900,6475,2
6,6660419570.0,1,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육사시미(뭉티기)600g (+23000원),34900,28.0,65.0,34,전라도청년,3000,600,5817,37900,6317,2
7,6174273536.0,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,1. 뭉티기 200g,14900,155.0,276.0,303,성수동클래식,3500,200,7450,18400,9200,2
8,6174273536.0,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,2. 뭉티기 400g (+11000원),25900,155.0,276.0,303,성수동클래식,3500,400,6475,29400,7350,2
9,6174273536.0,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,3. 뭉티기 600g (+22700원),37600,155.0,276.0,303,성수동클래식,3500,600,6267,41100,6850,2
10,6174273536.0,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,4. 육회 200g (-1000원),13900,155.0,276.0,303,성수동클래식,3500,200,6950,17400,8700,1
11,6174273536.0,2,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,5. 육회 400g (+9400원),24300,155.0,276.0,303,성수동클래식,3500,400,6075,27800,6950,1
