,상품번호,랭킹,상품명,옵션,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
1,4762993608.0,1,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 250g,21800,7711.0,4267.0,1515,1,솔직한농부,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=PKKoyzLz9tWfx3PHrrcqLf%2F%2F%2Fw%3D%3DskzhxFQBpoKchbOknN0kfhdRlYQLbjpl09VsjUZXan3Kq2XnnOQAIvk72teFbS9xeKFkuzvgO%2BdSJVzrFN9Cee%2BH40QJQxcHYiVu33qb%2Bu0%2BAbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPmfnYF7Ss5ThPhCxS9Nt%2Bkf4yDuRZMdfrl2U2rr%2BxMl%2BbYjM5W1OlplxINKh9mrHqcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NevZN1aM6Lz%2FG7q2Wn6klDRg1bwUqDyCRdjOJQZPgXfaAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FY4KNAog%2BA37oJmxpSjkIjYRG7IMFp0n2P%2FQw9jWr8Yx8oX0wm1Kkm%2Bv3vJO4TfchF7nwZe6FZWorlGSj7KtLdmMHn7BDBNaqXNmoKbAeTMvYABYThi6LojwzllX3q8bx8BZoYHZoRNjlp6IRpreA7p58tU%2BP0fxvLPK4xlnTcdXiQksNoyaY15bcM6NhfIBNlIsPzlfHVKrZRw6R72TtpiZIcRLOjHz%2FQf1yLKIkBTdHJ8nOAfQSyJc361LO6MTNn9Gsz4eTvApR9CuAzggQWrQ8rMQ8p3hbvi8ewMnw%2FkNA2JvXkZ4IPCxDzjQtQrJZ4B1XLUp7om%2B44XheFXWVnIDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=82307515528&catId=50004654
2,4762993608.0,1,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 600g,21800,7711.0,4267.0,1515,1,솔직한농부,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=PKKoyzLz9tWfx3PHrrcqLf%2F%2F%2Fw%3D%3DskzhxFQBpoKchbOknN0kfhdRlYQLbjpl09VsjUZXan3Kq2XnnOQAIvk72teFbS9xeKFkuzvgO%2BdSJVzrFN9Cee%2BH40QJQxcHYiVu33qb%2Bu0%2BAbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPmfnYF7Ss5ThPhCxS9Nt%2Bkf4yDuRZMdfrl2U2rr%2BxMl%2BbYjM5W1OlplxINKh9mrHqcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NevZN1aM6Lz%2FG7q2Wn6klDRg1bwUqDyCRdjOJQZPgXfaAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FY4KNAog%2BA37oJmxpSjkIjYRG7IMFp0n2P%2FQw9jWr8Yx8oX0wm1Kkm%2Bv3vJO4TfchF7nwZe6FZWorlGSj7KtLdmMHn7BDBNaqXNmoKbAeTMvYABYThi6LojwzllX3q8bx8BZoYHZoRNjlp6IRpreA7p58tU%2BP0fxvLPK4xlnTcdXiQksNoyaY15bcM6NhfIBNlIsPzlfHVKrZRw6R72TtpiZIcRLOjHz%2FQf1yLKIkBTdHJ8nOAfQSyJc361LO6MTNn9Gsz4eTvApR9CuAzggQWrQ8rMQ8p3hbvi8ewMnw%2FkNA2JvXkZ4IPCxDzjQtQrJZ4B1XLUp7om%2B44XheFXWVnIDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=82307515528&catId=50004654
3,4762993608.0,1,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 250g & 보리소육회300g,21800,7711.0,4267.0,1515,1,솔직한농부,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=PKKoyzLz9tWfx3PHrrcqLf%2F%2F%2Fw%3D%3DskzhxFQBpoKchbOknN0kfhdRlYQLbjpl09VsjUZXan3Kq2XnnOQAIvk72teFbS9xeKFkuzvgO%2BdSJVzrFN9Cee%2BH40QJQxcHYiVu33qb%2Bu0%2BAbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPmfnYF7Ss5ThPhCxS9Nt%2Bkf4yDuRZMdfrl2U2rr%2BxMl%2BbYjM5W1OlplxINKh9mrHqcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NevZN1aM6Lz%2FG7q2Wn6klDRg1bwUqDyCRdjOJQZPgXfaAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FY4KNAog%2BA37oJmxpSjkIjYRG7IMFp0n2P%2FQw9jWr8Yx8oX0wm1Kkm%2Bv3vJO4TfchF7nwZe6FZWorlGSj7KtLdmMHn7BDBNaqXNmoKbAeTMvYABYThi6LojwzllX3q8bx8BZoYHZoRNjlp6IRpreA7p58tU%2BP0fxvLPK4xlnTcdXiQksNoyaY15bcM6NhfIBNlIsPzlfHVKrZRw6R72TtpiZIcRLOjHz%2FQf1yLKIkBTdHJ8nOAfQSyJc361LO6MTNn9Gsz4eTvApR9CuAzggQWrQ8rMQ8p3hbvi8ewMnw%2FkNA2JvXkZ4IPCxDzjQtQrJZ4B1XLUp7om%2B44XheFXWVnIDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=82307515528&catId=50004654
4,4762993608.0,1,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,보리소육회300g,21800,7711.0,4267.0,1515,1,솔직한농부,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=PKKoyzLz9tWfx3PHrrcqLf%2F%2F%2Fw%3D%3DskzhxFQBpoKchbOknN0kfhdRlYQLbjpl09VsjUZXan3Kq2XnnOQAIvk72teFbS9xeKFkuzvgO%2BdSJVzrFN9Cee%2BH40QJQxcHYiVu33qb%2Bu0%2BAbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPmfnYF7Ss5ThPhCxS9Nt%2Bkf4yDuRZMdfrl2U2rr%2BxMl%2BbYjM5W1OlplxINKh9mrHqcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NevZN1aM6Lz%2FG7q2Wn6klDRg1bwUqDyCRdjOJQZPgXfaAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FY4KNAog%2BA37oJmxpSjkIjYRG7IMFp0n2P%2FQw9jWr8Yx8oX0wm1Kkm%2Bv3vJO4TfchF7nwZe6FZWorlGSj7KtLdmMHn7BDBNaqXNmoKbAeTMvYABYThi6LojwzllX3q8bx8BZoYHZoRNjlp6IRpreA7p58tU%2BP0fxvLPK4xlnTcdXiQksNoyaY15bcM6NhfIBNlIsPzlfHVKrZRw6R72TtpiZIcRLOjHz%2FQf1yLKIkBTdHJ8nOAfQSyJc361LO6MTNn9Gsz4eTvApR9CuAzggQWrQ8rMQ8p3hbvi8ewMnw%2FkNA2JvXkZ4IPCxDzjQtQrJZ4B1XLUp7om%2B44XheFXWVnIDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=82307515528&catId=50004654
5,4762993608.0,1,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,한가득 실속세트 850g,21800,7711.0,4267.0,1515,1,솔직한농부,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=PKKoyzLz9tWfx3PHrrcqLf%2F%2F%2Fw%3D%3DskzhxFQBpoKchbOknN0kfhdRlYQLbjpl09VsjUZXan3Kq2XnnOQAIvk72teFbS9xeKFkuzvgO%2BdSJVzrFN9Cee%2BH40QJQxcHYiVu33qb%2Bu0%2BAbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPmfnYF7Ss5ThPhCxS9Nt%2Bkf4yDuRZMdfrl2U2rr%2BxMl%2BbYjM5W1OlplxINKh9mrHqcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NevZN1aM6Lz%2FG7q2Wn6klDRg1bwUqDyCRdjOJQZPgXfaAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FY4KNAog%2BA37oJmxpSjkIjYRG7IMFp0n2P%2FQw9jWr8Yx8oX0wm1Kkm%2Bv3vJO4TfchF7nwZe6FZWorlGSj7KtLdmMHn7BDBNaqXNmoKbAeTMvYABYThi6LojwzllX3q8bx8BZoYHZoRNjlp6IRpreA7p58tU%2BP0fxvLPK4xlnTcdXiQksNoyaY15bcM6NhfIBNlIsPzlfHVKrZRw6R72TtpiZIcRLOjHz%2FQf1yLKIkBTdHJ8nOAfQSyJc361LO6MTNn9Gsz4eTvApR9CuAzggQWrQ8rMQ8p3hbvi8ewMnw%2FkNA2JvXkZ4IPCxDzjQtQrJZ4B1XLUp7om%2B44XheFXWVnIDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=82307515528&catId=50004654
6,6140087642.0,2,[백십일] 무료배송 한우 뭉티기 당일도축 대구 육사시미 200g,없음,24900,618.0,1207.0,807,1,백십일,0,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=PCXeU3AuLyHnJrR530lsPf%2F%2F%2Fw%3D%3DsU2SAR5KdOZZ5OgHjx8wh0hIN2NFE1f5AEHO8z8UqZrJTG8bhWYnXTnlfJjXd7Hc2chnJyFbb%2FNB2yPCgVcdAh2edW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDor1uQttTCbs58HTX%2BdUG79JKMgt5Ihmo4wV%2B2mja3I2d%2B9R7O5rpy2EADL2fTpHphbvLlv4HY0hfcx4oLpBjUrcGFEV98CfAwi%2FgpsOD1fQ6AOYZ%2BfIXAZX1YuSRx8xCrnZfGqkarLHwGpEw70EDpyhiBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSeoKwV9%2FI%2B11sT74eh4ckVRIu0%2F9%2Fb24vo0Kc6qyOUIHhrXb%2B3d0QTOTIl2QL0uQODISdfy%2BSCDOBm%2BNxSP2zGYvCgyt%2FXXfk08Hj1%2FizOSkEDdPBtCDHX%2FaWgq6hyTq4rBPm18q%2BHRr8kJtQC7WL4300i4pZRxz63D63vE8ct%2BmfY%2BxhcmJsbv1iq0aSbODhLTvUIKW2ivrUqdirD%2B9S8otBvaiPdc02juxcjHGnRKshD%2FubXA6h1J3yx1nkUri0%2F6vtUBvfoSsQPvEM6ZWUZTrSqsjqX8SDaJCS9%2FAHhy79yCiAfx0NrjLYsCVpP%2Fm%2BXiUkMXhJT0lVTrxoCvcCd00OEsHC78VBLnFZh%2FnDobeN&nvMid=83684587130&catId=50004654
7,5763128946.0,3,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육사시미250g+전용 양념장 (+7000원),23900,238.0,568.0,303,1,시장마트,4000,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=ez7Wh4jLNzzdXcKygH08Uv%2F%2F%2Fw%3D%3DsGjUXIG1xPXzIcZYadaJyQRCMj%2FbiVJPbYllCFEGVELylYrSUWhHeV%2BWxNc3653BtGzKi37EU1PqidQqFBZGuHkls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyxXGdJUm%2BOdySGDbGtwm1lxj4RTCzrfbwhjQVVVMtpoAe8FJBlr%2B%2B6nL5PTCuT3B%2FNIw3nXhAwy63XWUH5use5kuG%2FicFY3q9hGdjro9%2BnxRnOVfkqSxTJrSsdlAJ5AbXp6ovgu4NWXGpc0KhcvfEWYFvIg99pI98OS0oZ4Q2Wytr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu%2Fuvmv9qaJ3MoW2yZpCmn272VxPkPNytk3gD%2BIpQ57wWKIEPy9huh9JNuR6eleqJXoEp%2FbiTcBvSuJm44AzDncJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrIZVjaHgaIkby9kBjDqD6jvsFCLIxp%2BZRbLyjcV2m2TxMEXvUnO%2FkhvNu3mfYcx4Q9b0XFrlEWydkSPnkdb%2BotpJaIWibq0UHF7ZDUp87gD%2B92dRUSSHdI95PA5EoApmTvVbaBkL5q2U304D1P0QvzXA90FVF4GiuXvYQbqvXmVUH3RTTv4FR%2BzRfMr1ge3jd0DfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=83307628360&catId=50004654
8,5763128946.0,3,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육사시미600g+전용 양념장 (+25100원),42000,238.0,568.0,303,1,시장마트,4000,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=ez7Wh4jLNzzdXcKygH08Uv%2F%2F%2Fw%3D%3DsGjUXIG1xPXzIcZYadaJyQRCMj%2FbiVJPbYllCFEGVELylYrSUWhHeV%2BWxNc3653BtGzKi37EU1PqidQqFBZGuHkls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyxXGdJUm%2BOdySGDbGtwm1lxj4RTCzrfbwhjQVVVMtpoAe8FJBlr%2B%2B6nL5PTCuT3B%2FNIw3nXhAwy63XWUH5use5kuG%2FicFY3q9hGdjro9%2BnxRnOVfkqSxTJrSsdlAJ5AbXp6ovgu4NWXGpc0KhcvfEWYFvIg99pI98OS0oZ4Q2Wytr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu%2Fuvmv9qaJ3MoW2yZpCmn272VxPkPNytk3gD%2BIpQ57wWKIEPy9huh9JNuR6eleqJXoEp%2FbiTcBvSuJm44AzDncJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrIZVjaHgaIkby9kBjDqD6jvsFCLIxp%2BZRbLyjcV2m2TxMEXvUnO%2FkhvNu3mfYcx4Q9b0XFrlEWydkSPnkdb%2BotpJaIWibq0UHF7ZDUp87gD%2B92dRUSSHdI95PA5EoApmTvVbaBkL5q2U304D1P0QvzXA90FVF4GiuXvYQbqvXmVUH3RTTv4FR%2BzRfMr1ge3jd0DfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=83307628360&catId=50004654
9,5763128946.0,3,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육회300g+전용 양념장2개,16900,238.0,568.0,303,1,시장마트,4000,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=ez7Wh4jLNzzdXcKygH08Uv%2F%2F%2Fw%3D%3DsGjUXIG1xPXzIcZYadaJyQRCMj%2FbiVJPbYllCFEGVELylYrSUWhHeV%2BWxNc3653BtGzKi37EU1PqidQqFBZGuHkls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyxXGdJUm%2BOdySGDbGtwm1lxj4RTCzrfbwhjQVVVMtpoAe8FJBlr%2B%2B6nL5PTCuT3B%2FNIw3nXhAwy63XWUH5use5kuG%2FicFY3q9hGdjro9%2BnxRnOVfkqSxTJrSsdlAJ5AbXp6ovgu4NWXGpc0KhcvfEWYFvIg99pI98OS0oZ4Q2Wytr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu%2Fuvmv9qaJ3MoW2yZpCmn272VxPkPNytk3gD%2BIpQ57wWKIEPy9huh9JNuR6eleqJXoEp%2FbiTcBvSuJm44AzDncJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrIZVjaHgaIkby9kBjDqD6jvsFCLIxp%2BZRbLyjcV2m2TxMEXvUnO%2FkhvNu3mfYcx4Q9b0XFrlEWydkSPnkdb%2BotpJaIWibq0UHF7ZDUp87gD%2B92dRUSSHdI95PA5EoApmTvVbaBkL5q2U304D1P0QvzXA90FVF4GiuXvYQbqvXmVUH3RTTv4FR%2BzRfMr1ge3jd0DfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=83307628360&catId=50004654
10,5763128946.0,3,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육회600g+전용 양념장2개 (+14000원),30900,238.0,568.0,303,1,시장마트,4000,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=ez7Wh4jLNzzdXcKygH08Uv%2F%2F%2Fw%3D%3DsGjUXIG1xPXzIcZYadaJyQRCMj%2FbiVJPbYllCFEGVELylYrSUWhHeV%2BWxNc3653BtGzKi37EU1PqidQqFBZGuHkls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyxXGdJUm%2BOdySGDbGtwm1lxj4RTCzrfbwhjQVVVMtpoAe8FJBlr%2B%2B6nL5PTCuT3B%2FNIw3nXhAwy63XWUH5use5kuG%2FicFY3q9hGdjro9%2BnxRnOVfkqSxTJrSsdlAJ5AbXp6ovgu4NWXGpc0KhcvfEWYFvIg99pI98OS0oZ4Q2Wytr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu%2Fuvmv9qaJ3MoW2yZpCmn272VxPkPNytk3gD%2BIpQ57wWKIEPy9huh9JNuR6eleqJXoEp%2FbiTcBvSuJm44AzDncJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrIZVjaHgaIkby9kBjDqD6jvsFCLIxp%2BZRbLyjcV2m2TxMEXvUnO%2FkhvNu3mfYcx4Q9b0XFrlEWydkSPnkdb%2BotpJaIWibq0UHF7ZDUp87gD%2B92dRUSSHdI95PA5EoApmTvVbaBkL5q2U304D1P0QvzXA90FVF4GiuXvYQbqvXmVUH3RTTv4FR%2BzRfMr1ge3jd0DfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=83307628360&catId=50004654
