,상품명,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크,옵션,상품번호
1,백십일 무료배송 한우 육회 당일도축 200g,24900,863.0,1592.0,818,1,백십일,0,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=sJ9Ek6xDs7kXGgkxC7dfyf%2F%2F%2Fw%3D%3DszuktMMhrknWptYWFXI4djAxZjMIfMgKc24X%2FqES%2Fuvq%2BujfgJbNMB2WWL70VDrkeXceAmzVK88FBVAnWqlqxp0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSNje9kuElmRT51y6yowCtaadRMqT7IyKedk2fQVJXoB9Y2xV8ssVquI4wqNMLVHDHrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4IMxa9sZs2e7zWZQpP5C7Svj61fIEdtpkrwAHcjHdW9MCBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFn4nkKZrnZoqHEJLr8hsCiDvlpuJrfIkveFqxTIebPfdiqLiNlmzCnpU6thOdl5TNWQ5Jgg4we5RrHPCpWRq7uToR0NMfjxU5K6%2FbeUFZvLpGjmHD%2BXe4TV1WuQjCV4bB%2BNjcdIhaLeC%2B4OdRTVATfW%2BBqrJVUrEDiW%2FEol5DtmH8XuLv9tlMDuWY3IGTnUUsKAQAwPq0Ew%2BdFGT1krP1YnFWZ0gPcofqSBFTQvcoq8eDrgClekVxtSLNN1yS74gXR%2FR5NO3jfP42hJE0q3c2Z3R0rlhukOrNCc1JT6eIWA1IgWT%2FcVj6Wgo7WJZZs%2Bcjy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=83681041978&catId=50004654,없음,6136542490.0
2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,12900,8360.0,2379.0,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=EhNlw%2BZVN7GvaNl3ARGQs%2F%2F%2F%2Fw%3D%3DsVXm6jZ92AjAGOnrRb0fPtp7HdPA3dmwGUajF3sU0doC%2BujfgJbNMB2WWL70VDrkeoeCD2%2Fi7AbPi1BYMsmXiWtof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWRtGIBUAVzXkW3CDPDSJnCmiAgfoS8KmGy2jUlfkJfz%2FNCHurNsVo%2FkzYtzE6DvLmBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQkKR%2BVWlX%2BGE8zogUZxnInzo3YKWWX95rtj4MCHJN8R8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDYky2VcX7Ex5ZmRoB14OE7dLDFc93NRzBAU0qnIHzHq3v6j5wUaFa%2F03rBtji%2BHUS027FV%2ByaC%2F5DZzd8nH9KXaYH0AWYtvV7ZosyxYllfbDjz0QvUNMmqZLetbs9c3urwuLtIlkc384AtuyxrEBhke%2B9vbD0dYA8AuCXl1m%2Ffhy3ivVDO%2B6CvDDwNiM79gXHPE7fCXyLLANf7wVnK7NJHvzXuxpo%2BL%2FshBaqQl6EN3BPVzPTrxslHIPszD%2FVYe%2B%2FkNnPzmLNW2zj%2BZ1gf1ymiFY7Xn80CBZNgpsNuey2ual0gh2gvo7NCL2XhNv0jJFtoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=9501105265&catId=50004654,육회220g,368963611.0
3,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,12900,8360.0,2379.0,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=EhNlw%2BZVN7GvaNl3ARGQs%2F%2F%2F%2Fw%3D%3DsVXm6jZ92AjAGOnrRb0fPtp7HdPA3dmwGUajF3sU0doC%2BujfgJbNMB2WWL70VDrkeoeCD2%2Fi7AbPi1BYMsmXiWtof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWRtGIBUAVzXkW3CDPDSJnCmiAgfoS8KmGy2jUlfkJfz%2FNCHurNsVo%2FkzYtzE6DvLmBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQkKR%2BVWlX%2BGE8zogUZxnInzo3YKWWX95rtj4MCHJN8R8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDYky2VcX7Ex5ZmRoB14OE7dLDFc93NRzBAU0qnIHzHq3v6j5wUaFa%2F03rBtji%2BHUS027FV%2ByaC%2F5DZzd8nH9KXaYH0AWYtvV7ZosyxYllfbDjz0QvUNMmqZLetbs9c3urwuLtIlkc384AtuyxrEBhke%2B9vbD0dYA8AuCXl1m%2Ffhy3ivVDO%2B6CvDDwNiM79gXHPE7fCXyLLANf7wVnK7NJHvzXuxpo%2BL%2FshBaqQl6EN3BPVzPTrxslHIPszD%2FVYe%2B%2FkNnPzmLNW2zj%2BZ1gf1ymiFY7Xn80CBZNgpsNuey2ual0gh2gvo7NCL2XhNv0jJFtoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=9501105265&catId=50004654,육사시미220g,368963611.0
4,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,12900,8360.0,2379.0,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=EhNlw%2BZVN7GvaNl3ARGQs%2F%2F%2F%2Fw%3D%3DsVXm6jZ92AjAGOnrRb0fPtp7HdPA3dmwGUajF3sU0doC%2BujfgJbNMB2WWL70VDrkeoeCD2%2Fi7AbPi1BYMsmXiWtof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWRtGIBUAVzXkW3CDPDSJnCmiAgfoS8KmGy2jUlfkJfz%2FNCHurNsVo%2FkzYtzE6DvLmBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQkKR%2BVWlX%2BGE8zogUZxnInzo3YKWWX95rtj4MCHJN8R8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDYky2VcX7Ex5ZmRoB14OE7dLDFc93NRzBAU0qnIHzHq3v6j5wUaFa%2F03rBtji%2BHUS027FV%2ByaC%2F5DZzd8nH9KXaYH0AWYtvV7ZosyxYllfbDjz0QvUNMmqZLetbs9c3urwuLtIlkc384AtuyxrEBhke%2B9vbD0dYA8AuCXl1m%2Ffhy3ivVDO%2B6CvDDwNiM79gXHPE7fCXyLLANf7wVnK7NJHvzXuxpo%2BL%2FshBaqQl6EN3BPVzPTrxslHIPszD%2FVYe%2B%2FkNnPzmLNW2zj%2BZ1gf1ymiFY7Xn80CBZNgpsNuey2ual0gh2gvo7NCL2XhNv0jJFtoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=9501105265&catId=50004654,육회220g + 간장소스30g (+500원),368963611.0
5,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,12900,8360.0,2379.0,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=EhNlw%2BZVN7GvaNl3ARGQs%2F%2F%2F%2Fw%3D%3DsVXm6jZ92AjAGOnrRb0fPtp7HdPA3dmwGUajF3sU0doC%2BujfgJbNMB2WWL70VDrkeoeCD2%2Fi7AbPi1BYMsmXiWtof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWRtGIBUAVzXkW3CDPDSJnCmiAgfoS8KmGy2jUlfkJfz%2FNCHurNsVo%2FkzYtzE6DvLmBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQkKR%2BVWlX%2BGE8zogUZxnInzo3YKWWX95rtj4MCHJN8R8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDYky2VcX7Ex5ZmRoB14OE7dLDFc93NRzBAU0qnIHzHq3v6j5wUaFa%2F03rBtji%2BHUS027FV%2ByaC%2F5DZzd8nH9KXaYH0AWYtvV7ZosyxYllfbDjz0QvUNMmqZLetbs9c3urwuLtIlkc384AtuyxrEBhke%2B9vbD0dYA8AuCXl1m%2Ffhy3ivVDO%2B6CvDDwNiM79gXHPE7fCXyLLANf7wVnK7NJHvzXuxpo%2BL%2FshBaqQl6EN3BPVzPTrxslHIPszD%2FVYe%2B%2FkNnPzmLNW2zj%2BZ1gf1ymiFY7Xn80CBZNgpsNuey2ual0gh2gvo7NCL2XhNv0jJFtoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=9501105265&catId=50004654,육회220g + 고추장소스40g (+900원),368963611.0
6,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,12900,8360.0,2379.0,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=EhNlw%2BZVN7GvaNl3ARGQs%2F%2F%2F%2Fw%3D%3DsVXm6jZ92AjAGOnrRb0fPtp7HdPA3dmwGUajF3sU0doC%2BujfgJbNMB2WWL70VDrkeoeCD2%2Fi7AbPi1BYMsmXiWtof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWRtGIBUAVzXkW3CDPDSJnCmiAgfoS8KmGy2jUlfkJfz%2FNCHurNsVo%2FkzYtzE6DvLmBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQkKR%2BVWlX%2BGE8zogUZxnInzo3YKWWX95rtj4MCHJN8R8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDYky2VcX7Ex5ZmRoB14OE7dLDFc93NRzBAU0qnIHzHq3v6j5wUaFa%2F03rBtji%2BHUS027FV%2ByaC%2F5DZzd8nH9KXaYH0AWYtvV7ZosyxYllfbDjz0QvUNMmqZLetbs9c3urwuLtIlkc384AtuyxrEBhke%2B9vbD0dYA8AuCXl1m%2Ffhy3ivVDO%2B6CvDDwNiM79gXHPE7fCXyLLANf7wVnK7NJHvzXuxpo%2BL%2FshBaqQl6EN3BPVzPTrxslHIPszD%2FVYe%2B%2FkNnPzmLNW2zj%2BZ1gf1ymiFY7Xn80CBZNgpsNuey2ual0gh2gvo7NCL2XhNv0jJFtoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=9501105265&catId=50004654,육사시미220g＋고추장소스40g (+900원),368963611.0
7,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,18000,867.0,1089.0,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=MhNGI%2BMownpBripf%2B32yff%2F%2F%2Fw%3D%3Dsl56cH4JGDD87AcfAbaCjWHSdek62Ky3EcuEv0Xyk6pS%2BujfgJbNMB2WWL70VDrkexLVqpfBvLb2igEnAWayjj0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSNje9kuElmRT51y6yowCtaadRMqT7IyKedk2fQVJXoB9Y2xV8ssVquI4wqNMLVHDHrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA49ldnmG45%2Bqy2dGoxyo6CvawUvpZqyTYGMHXAFmJPBp8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFi47EMMpRt3ltkchRbN6TM7HHLEpXk3c8vwlPruV3K1b%2F%2FB%2Bg3Ttl%2BrIUg2PdrkdcmXDmIOOB6kamF9uF35YumFURtcOynMvXHyzOBW%2Fp9cnWVwGlh1vSLVzNx3mInn93D47UbXamr%2F3ZOFmMHGwOkeRARRlu%2Fg77vBT8jcGp4zCYZs5lC5kWrhunlhgRS96NYa5wAfZBmeJ1vpoC1z4uiLKoCZSjnuF9MoVKVx9%2Bm9oYauzxsItSe8X8wIwoj%2Fpv%2BXVQ0j%2FiUCITfQQu8loN5Y%2FJ%2FQjLJzNnVXhjZGchN6pMgRMcs3KzajSOCbGpFQmoPqwdBHlhOwdR1ilp61t2acqtFGK8dlkf1VSNUR0qKncwZ5VZC%2FPEoIYZbXUTHfVnQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=82716143302&catId=50004654,우둔살(통)300g,5171622158.0
8,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,18000,867.0,1089.0,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=MhNGI%2BMownpBripf%2B32yff%2F%2F%2Fw%3D%3Dsl56cH4JGDD87AcfAbaCjWHSdek62Ky3EcuEv0Xyk6pS%2BujfgJbNMB2WWL70VDrkexLVqpfBvLb2igEnAWayjj0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSNje9kuElmRT51y6yowCtaadRMqT7IyKedk2fQVJXoB9Y2xV8ssVquI4wqNMLVHDHrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA49ldnmG45%2Bqy2dGoxyo6CvawUvpZqyTYGMHXAFmJPBp8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFi47EMMpRt3ltkchRbN6TM7HHLEpXk3c8vwlPruV3K1b%2F%2FB%2Bg3Ttl%2BrIUg2PdrkdcmXDmIOOB6kamF9uF35YumFURtcOynMvXHyzOBW%2Fp9cnWVwGlh1vSLVzNx3mInn93D47UbXamr%2F3ZOFmMHGwOkeRARRlu%2Fg77vBT8jcGp4zCYZs5lC5kWrhunlhgRS96NYa5wAfZBmeJ1vpoC1z4uiLKoCZSjnuF9MoVKVx9%2Bm9oYauzxsItSe8X8wIwoj%2Fpv%2BXVQ0j%2FiUCITfQQu8loN5Y%2FJ%2FQjLJzNnVXhjZGchN6pMgRMcs3KzajSOCbGpFQmoPqwdBHlhOwdR1ilp61t2acqtFGK8dlkf1VSNUR0qKncwZ5VZC%2FPEoIYZbXUTHfVnQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=82716143302&catId=50004654,우둔살(통)600g (+18000원),5171622158.0
9,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,18000,867.0,1089.0,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=MhNGI%2BMownpBripf%2B32yff%2F%2F%2Fw%3D%3Dsl56cH4JGDD87AcfAbaCjWHSdek62Ky3EcuEv0Xyk6pS%2BujfgJbNMB2WWL70VDrkexLVqpfBvLb2igEnAWayjj0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSNje9kuElmRT51y6yowCtaadRMqT7IyKedk2fQVJXoB9Y2xV8ssVquI4wqNMLVHDHrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA49ldnmG45%2Bqy2dGoxyo6CvawUvpZqyTYGMHXAFmJPBp8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFi47EMMpRt3ltkchRbN6TM7HHLEpXk3c8vwlPruV3K1b%2F%2FB%2Bg3Ttl%2BrIUg2PdrkdcmXDmIOOB6kamF9uF35YumFURtcOynMvXHyzOBW%2Fp9cnWVwGlh1vSLVzNx3mInn93D47UbXamr%2F3ZOFmMHGwOkeRARRlu%2Fg77vBT8jcGp4zCYZs5lC5kWrhunlhgRS96NYa5wAfZBmeJ1vpoC1z4uiLKoCZSjnuF9MoVKVx9%2Bm9oYauzxsItSe8X8wIwoj%2Fpv%2BXVQ0j%2FiUCITfQQu8loN5Y%2FJ%2FQjLJzNnVXhjZGchN6pMgRMcs3KzajSOCbGpFQmoPqwdBHlhOwdR1ilp61t2acqtFGK8dlkf1VSNUR0qKncwZ5VZC%2FPEoIYZbXUTHfVnQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=82716143302&catId=50004654,우둔살(육회)300g,5171622158.0
10,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,18000,867.0,1089.0,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=MhNGI%2BMownpBripf%2B32yff%2F%2F%2Fw%3D%3Dsl56cH4JGDD87AcfAbaCjWHSdek62Ky3EcuEv0Xyk6pS%2BujfgJbNMB2WWL70VDrkexLVqpfBvLb2igEnAWayjj0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSNje9kuElmRT51y6yowCtaadRMqT7IyKedk2fQVJXoB9Y2xV8ssVquI4wqNMLVHDHrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA49ldnmG45%2Bqy2dGoxyo6CvawUvpZqyTYGMHXAFmJPBp8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFi47EMMpRt3ltkchRbN6TM7HHLEpXk3c8vwlPruV3K1b%2F%2FB%2Bg3Ttl%2BrIUg2PdrkdcmXDmIOOB6kamF9uF35YumFURtcOynMvXHyzOBW%2Fp9cnWVwGlh1vSLVzNx3mInn93D47UbXamr%2F3ZOFmMHGwOkeRARRlu%2Fg77vBT8jcGp4zCYZs5lC5kWrhunlhgRS96NYa5wAfZBmeJ1vpoC1z4uiLKoCZSjnuF9MoVKVx9%2Bm9oYauzxsItSe8X8wIwoj%2Fpv%2BXVQ0j%2FiUCITfQQu8loN5Y%2FJ%2FQjLJzNnVXhjZGchN6pMgRMcs3KzajSOCbGpFQmoPqwdBHlhOwdR1ilp61t2acqtFGK8dlkf1VSNUR0qKncwZ5VZC%2FPEoIYZbXUTHfVnQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=82716143302&catId=50004654,우둔살(육회)600g (+18000원),5171622158.0
