,상품번호,랭킹,상품명,옵션,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
1,6136542490,1,백십일 무료배송 한우 육회 당일도축 200g,없음,24900,863,1592,818,1,백십일,0,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=ixwikKUcU9Z4JpUf0ZMlwv%2F%2F%2Fw%3D%3Ds97xySPTuckW5GdOmLrL7VpNXRz%2FJv7%2B6mL8k8T1kfXU2T%2B2I7vM1lywjaE2447yKi4nInMXrhq4031r2i1%2B%2FRtyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lHY05jCKqpnxQSI%2Fb9cusnfjCw11ZhAXhUwCFxSkE0YM6MTovK0t3p%2BuWYwjVzl8Poy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBvWWlCgeWrLEG2KsoD4lH8mrke9pKuKL%2FY%2B40LbZOAdt2fdU6OMHyYkACjIofHTgmtr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADuxdQRS%2ByoFimY%2B1HjuTiDi2h40one1R1jXe9IaebkevSAbWnbEXzrP9nTOtX6d%2FrCLzzziZNrJA729eG1jT3rc0lkXwiAIkoC4vfal7wrOOAM6vsB4aiLLKEhTi0%2Bh9fUKWnfTrlvtH8OqctYE6hb%2FDtyh6NRyFI6s5JhadXj9IQoaBidGxMHFuiOFJ3YFkhQWq%2BVUKi2PIAby%2BK6EJbGqgPEMt80SBk16vi%2B9EfDchLZR%2Fwuw6MXZlKayS1Gsb2YMpMfI9VyGOmCh2He1gLFrSQj02LVvdJMWORmeWzxbjbxyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=83681041978&catId=50004654
2,368963611,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육회220g,12900,8360,2379,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=jR74o9zSGtozz6wegAxos%2F%2F%2F%2Fw%3D%3DszLw9lKpeJPVsqKRC7b0SDZ7HdPA3dmwGUajF3sU0doC%2BujfgJbNMB2WWL70VDrkex6QOvLh1lsPRozZcjeXLt9of6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWfuN8ZdSHamXkSHnn%2F6eL7qEMh2lBtv7kxgyKzybw%2BSFEx8GCsCZZ92IleqOT%2Fn0DBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQkKR%2BVWlX%2BGE8zogUZxnInzo3YKWWX95rtj4MCHJN8R8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDVPWf63HMVgy8ZKBejStPo1LDFc93NRzBAU0qnIHzHq3v6j5wUaFa%2F03rBtji%2BHUS027FV%2ByaC%2F5DZzd8nH9KXaYH0AWYtvV7ZosyxYllfbDjz0QvUNMmqZLetbs9c3urwuLtIlkc384AtuyxrEBhke%2B9vbD0dYA8AuCXl1m%2Ffhy3ivVDO%2B6CvDDwNiM79gXHPE7fCXyLLANf7wVnK7NJHvzXuxpo%2BL%2FshBaqQl6EN3BPVzPTrxslHIPszD%2FVYe%2B%2FkNnPzmLNW2zj%2BZ1gf1ymiFY7Xn80CBZNgpsNuey2ual0gh2gvo7NCL2XhNv0jJFtoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=9501105265&catId=50004654
3,368963611,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육사시미220g,12900,8360,2379,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=jR74o9zSGtozz6wegAxos%2F%2F%2F%2Fw%3D%3DszLw9lKpeJPVsqKRC7b0SDZ7HdPA3dmwGUajF3sU0doC%2BujfgJbNMB2WWL70VDrkex6QOvLh1lsPRozZcjeXLt9of6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWfuN8ZdSHamXkSHnn%2F6eL7qEMh2lBtv7kxgyKzybw%2BSFEx8GCsCZZ92IleqOT%2Fn0DBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQkKR%2BVWlX%2BGE8zogUZxnInzo3YKWWX95rtj4MCHJN8R8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDVPWf63HMVgy8ZKBejStPo1LDFc93NRzBAU0qnIHzHq3v6j5wUaFa%2F03rBtji%2BHUS027FV%2ByaC%2F5DZzd8nH9KXaYH0AWYtvV7ZosyxYllfbDjz0QvUNMmqZLetbs9c3urwuLtIlkc384AtuyxrEBhke%2B9vbD0dYA8AuCXl1m%2Ffhy3ivVDO%2B6CvDDwNiM79gXHPE7fCXyLLANf7wVnK7NJHvzXuxpo%2BL%2FshBaqQl6EN3BPVzPTrxslHIPszD%2FVYe%2B%2FkNnPzmLNW2zj%2BZ1gf1ymiFY7Xn80CBZNgpsNuey2ual0gh2gvo7NCL2XhNv0jJFtoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=9501105265&catId=50004654
4,368963611,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육회220g + 간장소스30g (+500원),13400,8360,2379,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=jR74o9zSGtozz6wegAxos%2F%2F%2F%2Fw%3D%3DszLw9lKpeJPVsqKRC7b0SDZ7HdPA3dmwGUajF3sU0doC%2BujfgJbNMB2WWL70VDrkex6QOvLh1lsPRozZcjeXLt9of6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWfuN8ZdSHamXkSHnn%2F6eL7qEMh2lBtv7kxgyKzybw%2BSFEx8GCsCZZ92IleqOT%2Fn0DBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQkKR%2BVWlX%2BGE8zogUZxnInzo3YKWWX95rtj4MCHJN8R8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDVPWf63HMVgy8ZKBejStPo1LDFc93NRzBAU0qnIHzHq3v6j5wUaFa%2F03rBtji%2BHUS027FV%2ByaC%2F5DZzd8nH9KXaYH0AWYtvV7ZosyxYllfbDjz0QvUNMmqZLetbs9c3urwuLtIlkc384AtuyxrEBhke%2B9vbD0dYA8AuCXl1m%2Ffhy3ivVDO%2B6CvDDwNiM79gXHPE7fCXyLLANf7wVnK7NJHvzXuxpo%2BL%2FshBaqQl6EN3BPVzPTrxslHIPszD%2FVYe%2B%2FkNnPzmLNW2zj%2BZ1gf1ymiFY7Xn80CBZNgpsNuey2ual0gh2gvo7NCL2XhNv0jJFtoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=9501105265&catId=50004654
5,368963611,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육회220g + 고추장소스40g (+900원),14300,8360,2379,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=jR74o9zSGtozz6wegAxos%2F%2F%2F%2Fw%3D%3DszLw9lKpeJPVsqKRC7b0SDZ7HdPA3dmwGUajF3sU0doC%2BujfgJbNMB2WWL70VDrkex6QOvLh1lsPRozZcjeXLt9of6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWfuN8ZdSHamXkSHnn%2F6eL7qEMh2lBtv7kxgyKzybw%2BSFEx8GCsCZZ92IleqOT%2Fn0DBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQkKR%2BVWlX%2BGE8zogUZxnInzo3YKWWX95rtj4MCHJN8R8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDVPWf63HMVgy8ZKBejStPo1LDFc93NRzBAU0qnIHzHq3v6j5wUaFa%2F03rBtji%2BHUS027FV%2ByaC%2F5DZzd8nH9KXaYH0AWYtvV7ZosyxYllfbDjz0QvUNMmqZLetbs9c3urwuLtIlkc384AtuyxrEBhke%2B9vbD0dYA8AuCXl1m%2Ffhy3ivVDO%2B6CvDDwNiM79gXHPE7fCXyLLANf7wVnK7NJHvzXuxpo%2BL%2FshBaqQl6EN3BPVzPTrxslHIPszD%2FVYe%2B%2FkNnPzmLNW2zj%2BZ1gf1ymiFY7Xn80CBZNgpsNuey2ual0gh2gvo7NCL2XhNv0jJFtoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=9501105265&catId=50004654
6,368963611,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육사시미220g＋고추장소스40g (+900원),15200,8360,2379,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=jR74o9zSGtozz6wegAxos%2F%2F%2F%2Fw%3D%3DszLw9lKpeJPVsqKRC7b0SDZ7HdPA3dmwGUajF3sU0doC%2BujfgJbNMB2WWL70VDrkex6QOvLh1lsPRozZcjeXLt9of6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWfuN8ZdSHamXkSHnn%2F6eL7qEMh2lBtv7kxgyKzybw%2BSFEx8GCsCZZ92IleqOT%2Fn0DBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQkKR%2BVWlX%2BGE8zogUZxnInzo3YKWWX95rtj4MCHJN8R8CBvacBshbm7ZDG%2Ff8pkkvBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDVPWf63HMVgy8ZKBejStPo1LDFc93NRzBAU0qnIHzHq3v6j5wUaFa%2F03rBtji%2BHUS027FV%2ByaC%2F5DZzd8nH9KXaYH0AWYtvV7ZosyxYllfbDjz0QvUNMmqZLetbs9c3urwuLtIlkc384AtuyxrEBhke%2B9vbD0dYA8AuCXl1m%2Ffhy3ivVDO%2B6CvDDwNiM79gXHPE7fCXyLLANf7wVnK7NJHvzXuxpo%2BL%2FshBaqQl6EN3BPVzPTrxslHIPszD%2FVYe%2B%2FkNnPzmLNW2zj%2BZ1gf1ymiFY7Xn80CBZNgpsNuey2ual0gh2gvo7NCL2XhNv0jJFtoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=9501105265&catId=50004654
7,5171622158,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(통)300g,18000,867,1089,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=jUhTcLFAutCVC3dOLehoTv%2F%2F%2Fw%3D%3Ds4RWwrN59yWGpUrJ3fPCaTpnCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yKNIzw9tHBOd0ozWf2BaG7JdyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lHY05jCKqpnxQSI%2Fb9cusnfjCw11ZhAXhUwCFxSkE0YM6MTovK0t3p%2BuWYwjVzl8Poy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtX69e75IGiR0b%2FsRS9R%2BuuKmfdU6OMHyYkACjIofHTgmtr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu3chnBl83kFzEYzEEyt%2BF%2FBjE3p9mXwG5KObZdd5o2mCAbWnbEXzrP9nTOtX6d%2FrCHWwEhVcM3Ya9kHdUmnsST7G0vpYiauCizj%2BgJ33KpVXdoSK%2F0I2owjQmnJlTiXh4Eri45iFH%2BK9qcnC3hcCi0oqy2HiYYxPf9S1w1XexWKuDnDXSuqK690cOAVnG9Rrcwg1Qyy3Tg%2FkuXU6v9K%2FTOwfEmBE%2FxHIX%2BxQTH%2BHG%2FP%2BdXmFJVeV7im4LHwbWo%2FGLzKl5P9gbA2tW5QfuR1iEA2r7VAb36ErED7xDOmVlGU6EXS9JL6RYBLLcgZ2i9K1lBZRtSbmZ7pKSAZZri%2B9W7yKUb8p%2BE8fOgqMPLKjIBZaDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=82716143302&catId=50004654
8,5171622158,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(통)600g (+18000원),36000,867,1089,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=jUhTcLFAutCVC3dOLehoTv%2F%2F%2Fw%3D%3Ds4RWwrN59yWGpUrJ3fPCaTpnCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yKNIzw9tHBOd0ozWf2BaG7JdyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lHY05jCKqpnxQSI%2Fb9cusnfjCw11ZhAXhUwCFxSkE0YM6MTovK0t3p%2BuWYwjVzl8Poy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtX69e75IGiR0b%2FsRS9R%2BuuKmfdU6OMHyYkACjIofHTgmtr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu3chnBl83kFzEYzEEyt%2BF%2FBjE3p9mXwG5KObZdd5o2mCAbWnbEXzrP9nTOtX6d%2FrCHWwEhVcM3Ya9kHdUmnsST7G0vpYiauCizj%2BgJ33KpVXdoSK%2F0I2owjQmnJlTiXh4Eri45iFH%2BK9qcnC3hcCi0oqy2HiYYxPf9S1w1XexWKuDnDXSuqK690cOAVnG9Rrcwg1Qyy3Tg%2FkuXU6v9K%2FTOwfEmBE%2FxHIX%2BxQTH%2BHG%2FP%2BdXmFJVeV7im4LHwbWo%2FGLzKl5P9gbA2tW5QfuR1iEA2r7VAb36ErED7xDOmVlGU6EXS9JL6RYBLLcgZ2i9K1lBZRtSbmZ7pKSAZZri%2B9W7yKUb8p%2BE8fOgqMPLKjIBZaDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=82716143302&catId=50004654
9,5171622158,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육회)300g,36000,867,1089,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=jUhTcLFAutCVC3dOLehoTv%2F%2F%2Fw%3D%3Ds4RWwrN59yWGpUrJ3fPCaTpnCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yKNIzw9tHBOd0ozWf2BaG7JdyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lHY05jCKqpnxQSI%2Fb9cusnfjCw11ZhAXhUwCFxSkE0YM6MTovK0t3p%2BuWYwjVzl8Poy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtX69e75IGiR0b%2FsRS9R%2BuuKmfdU6OMHyYkACjIofHTgmtr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu3chnBl83kFzEYzEEyt%2BF%2FBjE3p9mXwG5KObZdd5o2mCAbWnbEXzrP9nTOtX6d%2FrCHWwEhVcM3Ya9kHdUmnsST7G0vpYiauCizj%2BgJ33KpVXdoSK%2F0I2owjQmnJlTiXh4Eri45iFH%2BK9qcnC3hcCi0oqy2HiYYxPf9S1w1XexWKuDnDXSuqK690cOAVnG9Rrcwg1Qyy3Tg%2FkuXU6v9K%2FTOwfEmBE%2FxHIX%2BxQTH%2BHG%2FP%2BdXmFJVeV7im4LHwbWo%2FGLzKl5P9gbA2tW5QfuR1iEA2r7VAb36ErED7xDOmVlGU6EXS9JL6RYBLLcgZ2i9K1lBZRtSbmZ7pKSAZZri%2B9W7yKUb8p%2BE8fOgqMPLKjIBZaDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=82716143302&catId=50004654
10,5171622158,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육회)600g (+18000원),54000,867,1089,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=jUhTcLFAutCVC3dOLehoTv%2F%2F%2Fw%3D%3Ds4RWwrN59yWGpUrJ3fPCaTpnCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yKNIzw9tHBOd0ozWf2BaG7JdyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lHY05jCKqpnxQSI%2Fb9cusnfjCw11ZhAXhUwCFxSkE0YM6MTovK0t3p%2BuWYwjVzl8Poy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtX69e75IGiR0b%2FsRS9R%2BuuKmfdU6OMHyYkACjIofHTgmtr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu3chnBl83kFzEYzEEyt%2BF%2FBjE3p9mXwG5KObZdd5o2mCAbWnbEXzrP9nTOtX6d%2FrCHWwEhVcM3Ya9kHdUmnsST7G0vpYiauCizj%2BgJ33KpVXdoSK%2F0I2owjQmnJlTiXh4Eri45iFH%2BK9qcnC3hcCi0oqy2HiYYxPf9S1w1XexWKuDnDXSuqK690cOAVnG9Rrcwg1Qyy3Tg%2FkuXU6v9K%2FTOwfEmBE%2FxHIX%2BxQTH%2BHG%2FP%2BdXmFJVeV7im4LHwbWo%2FGLzKl5P9gbA2tW5QfuR1iEA2r7VAb36ErED7xDOmVlGU6EXS9JL6RYBLLcgZ2i9K1lBZRtSbmZ7pKSAZZri%2B9W7yKUb8p%2BE8fOgqMPLKjIBZaDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=82716143302&catId=50004654
