상품번호,랭킹,상품명,옵션,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
6136542490,1,백십일 무료배송 한우 육회 당일도축 200g,없음,24900,863,1592,818,1,백십일,0,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=SXVRn30BxV9beLtgesXUKP%2F%2F%2Fw%3D%3Dsv3doOl0Afs1aITQ6F0U7XwxZjMIfMgKc24X%2FqES%2Fuvq%2BujfgJbNMB2WWL70VDrkeoCI1EnTxASX4I9kU82%2BgskgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4IMxa9sZs2e7zWZQpP5C7Sg7Q5ueSWRu1IOg8kHlQV2quKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJB5EISx5QEzvEVC8sbSw70CsN3HMNzpjRZBPSbhS62HZdrU9gBvTOY8XVxGgpGxxdsAJe5%2BCBwqPu8z9%2BolHAYQ%2BUAmzgM%2BOXCBJQMv79r%2BeY56dfhHNHq25%2Bgd6wjI0vWHM31cYcCKYwhehW9HH1c%2FbKfmGvaT5KpCaisag%2Fjxq1AxhEWmKaoeuJxx4qm9NFPGMmsgNj3aJADSPU2EB%2BmUIKcBuneu6Ir9N%2FV04TKejmELFO07QEQYUyi%2Bk709RTFHEL8Lj8Nqzb14FhAOIlphjOx38Sw4GE9lPhw5Icxo4YnMQPiCttJ84FwNqE8qPgDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=83681041978&catId=50004654
368963611,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육회220g,12900,8360,2379,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=eAoU4V3ZwnrtEGi4XDgu%2Ff%2F%2F%2Fw%3D%3DsCBumOnps6%2B8ct8eHNW8AhkNxDPi4eEybv22yYU%2BJ6oZvxAXzF6PXeMif%2BCBZw%2F3%2F5su1deBsVj0%2B8eIySukEQYZnlrSZr8PDPdBCvs8uWtdKzInqKADQtYsSu9KSIlX7Q3O9EsDRpcu%2F34Rj59a4JQkTLnJBJgflOELiuD8es50ol71SuAjGifkib6gEEh8%2BJxfYBSrxU%2BHc8r%2BjyXxpORDfSDBvRkBad9fdnOvVrJHGF%2F%2FjVNbx%2Bzm8rAXsnm0j2jb8aLBAi2gEvoFaSnpHu6sJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8RI0ugghJJiRNNNgcP7CB6VoBnxucnGi10MJb6Tq8dcxXfqiCwBtPYYwEdSt6i2JAbDHm4%2BMt4UnVfLXyEwalwR9aKc2jHVdRQO17PQDtiN6JywlDtpH7mH2YXAojP%2FxOtbwRwAxETKt7gbgzCOuZjlraPaHUDY%2FtbrnZWS0KBvEWV4FPeBK7DFD5yJMSMKJznFL13iihZVjruaqbDSuCAfUfcIDgsehYj9CvJInosrf7m9AzkTwg2AH7K1FORXSlVWadlAsNH3P8G1G8hS0XqtIUGoGy%2BbfoTy7U8wbQoy5xgbwjuovgZe6CF1tS2O2Yb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=9501105265&catId=50004654
368963611,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육사시미220g,12900,8360,2379,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=eAoU4V3ZwnrtEGi4XDgu%2Ff%2F%2F%2Fw%3D%3DsCBumOnps6%2B8ct8eHNW8AhkNxDPi4eEybv22yYU%2BJ6oZvxAXzF6PXeMif%2BCBZw%2F3%2F5su1deBsVj0%2B8eIySukEQYZnlrSZr8PDPdBCvs8uWtdKzInqKADQtYsSu9KSIlX7Q3O9EsDRpcu%2F34Rj59a4JQkTLnJBJgflOELiuD8es50ol71SuAjGifkib6gEEh8%2BJxfYBSrxU%2BHc8r%2BjyXxpORDfSDBvRkBad9fdnOvVrJHGF%2F%2FjVNbx%2Bzm8rAXsnm0j2jb8aLBAi2gEvoFaSnpHu6sJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8RI0ugghJJiRNNNgcP7CB6VoBnxucnGi10MJb6Tq8dcxXfqiCwBtPYYwEdSt6i2JAbDHm4%2BMt4UnVfLXyEwalwR9aKc2jHVdRQO17PQDtiN6JywlDtpH7mH2YXAojP%2FxOtbwRwAxETKt7gbgzCOuZjlraPaHUDY%2FtbrnZWS0KBvEWV4FPeBK7DFD5yJMSMKJznFL13iihZVjruaqbDSuCAfUfcIDgsehYj9CvJInosrf7m9AzkTwg2AH7K1FORXSlVWadlAsNH3P8G1G8hS0XqtIUGoGy%2BbfoTy7U8wbQoy5xgbwjuovgZe6CF1tS2O2Yb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=9501105265&catId=50004654
368963611,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육회220g + 간장소스30g (+500원),13400,8360,2379,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=eAoU4V3ZwnrtEGi4XDgu%2Ff%2F%2F%2Fw%3D%3DsCBumOnps6%2B8ct8eHNW8AhkNxDPi4eEybv22yYU%2BJ6oZvxAXzF6PXeMif%2BCBZw%2F3%2F5su1deBsVj0%2B8eIySukEQYZnlrSZr8PDPdBCvs8uWtdKzInqKADQtYsSu9KSIlX7Q3O9EsDRpcu%2F34Rj59a4JQkTLnJBJgflOELiuD8es50ol71SuAjGifkib6gEEh8%2BJxfYBSrxU%2BHc8r%2BjyXxpORDfSDBvRkBad9fdnOvVrJHGF%2F%2FjVNbx%2Bzm8rAXsnm0j2jb8aLBAi2gEvoFaSnpHu6sJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8RI0ugghJJiRNNNgcP7CB6VoBnxucnGi10MJb6Tq8dcxXfqiCwBtPYYwEdSt6i2JAbDHm4%2BMt4UnVfLXyEwalwR9aKc2jHVdRQO17PQDtiN6JywlDtpH7mH2YXAojP%2FxOtbwRwAxETKt7gbgzCOuZjlraPaHUDY%2FtbrnZWS0KBvEWV4FPeBK7DFD5yJMSMKJznFL13iihZVjruaqbDSuCAfUfcIDgsehYj9CvJInosrf7m9AzkTwg2AH7K1FORXSlVWadlAsNH3P8G1G8hS0XqtIUGoGy%2BbfoTy7U8wbQoy5xgbwjuovgZe6CF1tS2O2Yb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=9501105265&catId=50004654
368963611,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육회220g + 고추장소스40g (+900원),13800,8360,2379,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=eAoU4V3ZwnrtEGi4XDgu%2Ff%2F%2F%2Fw%3D%3DsCBumOnps6%2B8ct8eHNW8AhkNxDPi4eEybv22yYU%2BJ6oZvxAXzF6PXeMif%2BCBZw%2F3%2F5su1deBsVj0%2B8eIySukEQYZnlrSZr8PDPdBCvs8uWtdKzInqKADQtYsSu9KSIlX7Q3O9EsDRpcu%2F34Rj59a4JQkTLnJBJgflOELiuD8es50ol71SuAjGifkib6gEEh8%2BJxfYBSrxU%2BHc8r%2BjyXxpORDfSDBvRkBad9fdnOvVrJHGF%2F%2FjVNbx%2Bzm8rAXsnm0j2jb8aLBAi2gEvoFaSnpHu6sJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8RI0ugghJJiRNNNgcP7CB6VoBnxucnGi10MJb6Tq8dcxXfqiCwBtPYYwEdSt6i2JAbDHm4%2BMt4UnVfLXyEwalwR9aKc2jHVdRQO17PQDtiN6JywlDtpH7mH2YXAojP%2FxOtbwRwAxETKt7gbgzCOuZjlraPaHUDY%2FtbrnZWS0KBvEWV4FPeBK7DFD5yJMSMKJznFL13iihZVjruaqbDSuCAfUfcIDgsehYj9CvJInosrf7m9AzkTwg2AH7K1FORXSlVWadlAsNH3P8G1G8hS0XqtIUGoGy%2BbfoTy7U8wbQoy5xgbwjuovgZe6CF1tS2O2Yb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=9501105265&catId=50004654
368963611,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육사시미220g＋고추장소스40g (+900원),13800,8360,2379,341,1,삼형제고기,3500,육회용,우둔,220g,,https://cr.shopping.naver.com/adcr.nhn?x=eAoU4V3ZwnrtEGi4XDgu%2Ff%2F%2F%2Fw%3D%3DsCBumOnps6%2B8ct8eHNW8AhkNxDPi4eEybv22yYU%2BJ6oZvxAXzF6PXeMif%2BCBZw%2F3%2F5su1deBsVj0%2B8eIySukEQYZnlrSZr8PDPdBCvs8uWtdKzInqKADQtYsSu9KSIlX7Q3O9EsDRpcu%2F34Rj59a4JQkTLnJBJgflOELiuD8es50ol71SuAjGifkib6gEEh8%2BJxfYBSrxU%2BHc8r%2BjyXxpORDfSDBvRkBad9fdnOvVrJHGF%2F%2FjVNbx%2Bzm8rAXsnm0j2jb8aLBAi2gEvoFaSnpHu6sJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8RI0ugghJJiRNNNgcP7CB6VoBnxucnGi10MJb6Tq8dcxXfqiCwBtPYYwEdSt6i2JAbDHm4%2BMt4UnVfLXyEwalwR9aKc2jHVdRQO17PQDtiN6JywlDtpH7mH2YXAojP%2FxOtbwRwAxETKt7gbgzCOuZjlraPaHUDY%2FtbrnZWS0KBvEWV4FPeBK7DFD5yJMSMKJznFL13iihZVjruaqbDSuCAfUfcIDgsehYj9CvJInosrf7m9AzkTwg2AH7K1FORXSlVWadlAsNH3P8G1G8hS0XqtIUGoGy%2BbfoTy7U8wbQoy5xgbwjuovgZe6CF1tS2O2Yb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=9501105265&catId=50004654
5171622158,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(통)300g,18000,867,1089,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=i62rZsgDzI0Zb%2FZnbhtUu%2F%2F%2F%2Fw%3D%3DslGHgDXbMYmOiQKVLoOogX5nCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yK5H5zy69tzOXDyqRTWR9Lx9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtXxfTwUVbuS3J7s9VVCQGC6yFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDTX%2FOcS15YBue0yGYPcHe%2BUlJNEfxiZVsPB4XIC8rC7mKIEPy9huh9JNuR6eleqJXkJfWaEyL1ZfUwrhWTBelwy7cL4oGhdXvjOjRZlBE6rsQ9hI2EncpuzZcZm45MTGLTEGKawbjhYN6UZqgl1aNHn99p5DfyJodySpV%2Fa9PZaeuMoAfAmQKHur9y3kG4a6rdgKIvijjVNrE5M0LMN27SqCSZE3%2FxIBXWQHuLXEyZbNIUpIbAQHy7MZg35kGMRIMuS4nzLIj%2BNe9KTroKRWtReQCU4rA9qEITJh30T6VqaOuPzm7VEVJj%2B%2BO2rA%2FOinDQYkWsjAey0YYdnf%2FQ5g8wHPmAwTVSzP3UXrA%2BHNuMRYHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82716143302&catId=50004654
5171622158,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(통)600g (+18000원),36000,867,1089,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=i62rZsgDzI0Zb%2FZnbhtUu%2F%2F%2F%2Fw%3D%3DslGHgDXbMYmOiQKVLoOogX5nCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yK5H5zy69tzOXDyqRTWR9Lx9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtXxfTwUVbuS3J7s9VVCQGC6yFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDTX%2FOcS15YBue0yGYPcHe%2BUlJNEfxiZVsPB4XIC8rC7mKIEPy9huh9JNuR6eleqJXkJfWaEyL1ZfUwrhWTBelwy7cL4oGhdXvjOjRZlBE6rsQ9hI2EncpuzZcZm45MTGLTEGKawbjhYN6UZqgl1aNHn99p5DfyJodySpV%2Fa9PZaeuMoAfAmQKHur9y3kG4a6rdgKIvijjVNrE5M0LMN27SqCSZE3%2FxIBXWQHuLXEyZbNIUpIbAQHy7MZg35kGMRIMuS4nzLIj%2BNe9KTroKRWtReQCU4rA9qEITJh30T6VqaOuPzm7VEVJj%2B%2BO2rA%2FOinDQYkWsjAey0YYdnf%2FQ5g8wHPmAwTVSzP3UXrA%2BHNuMRYHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82716143302&catId=50004654
5171622158,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육회)300g,18000,867,1089,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=i62rZsgDzI0Zb%2FZnbhtUu%2F%2F%2F%2Fw%3D%3DslGHgDXbMYmOiQKVLoOogX5nCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yK5H5zy69tzOXDyqRTWR9Lx9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtXxfTwUVbuS3J7s9VVCQGC6yFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDTX%2FOcS15YBue0yGYPcHe%2BUlJNEfxiZVsPB4XIC8rC7mKIEPy9huh9JNuR6eleqJXkJfWaEyL1ZfUwrhWTBelwy7cL4oGhdXvjOjRZlBE6rsQ9hI2EncpuzZcZm45MTGLTEGKawbjhYN6UZqgl1aNHn99p5DfyJodySpV%2Fa9PZaeuMoAfAmQKHur9y3kG4a6rdgKIvijjVNrE5M0LMN27SqCSZE3%2FxIBXWQHuLXEyZbNIUpIbAQHy7MZg35kGMRIMuS4nzLIj%2BNe9KTroKRWtReQCU4rA9qEITJh30T6VqaOuPzm7VEVJj%2B%2BO2rA%2FOinDQYkWsjAey0YYdnf%2FQ5g8wHPmAwTVSzP3UXrA%2BHNuMRYHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82716143302&catId=50004654
5171622158,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육회)600g (+18000원),36000,867,1089,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=i62rZsgDzI0Zb%2FZnbhtUu%2F%2F%2F%2Fw%3D%3DslGHgDXbMYmOiQKVLoOogX5nCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yK5H5zy69tzOXDyqRTWR9Lx9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtXxfTwUVbuS3J7s9VVCQGC6yFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDTX%2FOcS15YBue0yGYPcHe%2BUlJNEfxiZVsPB4XIC8rC7mKIEPy9huh9JNuR6eleqJXkJfWaEyL1ZfUwrhWTBelwy7cL4oGhdXvjOjRZlBE6rsQ9hI2EncpuzZcZm45MTGLTEGKawbjhYN6UZqgl1aNHn99p5DfyJodySpV%2Fa9PZaeuMoAfAmQKHur9y3kG4a6rdgKIvijjVNrE5M0LMN27SqCSZE3%2FxIBXWQHuLXEyZbNIUpIbAQHy7MZg35kGMRIMuS4nzLIj%2BNe9KTroKRWtReQCU4rA9qEITJh30T6VqaOuPzm7VEVJj%2B%2BO2rA%2FOinDQYkWsjAey0YYdnf%2FQ5g8wHPmAwTVSzP3UXrA%2BHNuMRYHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82716143302&catId=50004654
