index,랭킹,상품명,옵션,가격,중량,복수 상품,타입,리뷰,구매건수,찜하기,쇼핑몰,배송비,100g당_가격,배송비포함_가격,100g당_배송비포함_가격
1,1,백십일 무료배송 한우 육회 당일도축 200g,없음,24900,200,0,1,863,1592,818,백십일,0,12450,24900,12450
2,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육회220g,12900,220,1,1,8360,2379,341,삼형제고기,3500,5864,16400,7455
3,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육사시미220g,12900,220,1,2,8360,2379,341,삼형제고기,3500,5864,16400,7455
4,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육회)300g,18000,300,1,1,867,1089,418,소문난정육점,3000,6000,21000,7000
5,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육회)600g (+18000원),36000,600,1,1,867,1089,418,소문난정육점,3000,6000,39000,6500
6,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육사시미)300g,18000,300,1,2,867,1089,418,소문난정육점,3000,6000,21000,7000
7,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육사시미)600g (+18000원),36000,600,1,2,867,1089,418,소문난정육점,3000,6000,39000,6500
8,4,현덕축산 국내산 숙성 육회 사시미 300g/500g (냉장),육회300g(소스x),9600,300,1,1,5368,,124,현덕축산,3500,3200,13100,4367
9,4,현덕축산 국내산 숙성 육회 사시미 300g/500g (냉장),"육회500g(참기름소스1개포함/변경X)(+6,900원)",16500,500,1,1,5368,,124,현덕축산,3500,3300,20000,4000
10,4,현덕축산 국내산 숙성 육회 사시미 300g/500g (냉장),"육사시미300g(참기름소스1개포함/변경X)(+5,000원)",14600,300,1,2,5368,,124,현덕축산,3500,4867,18100,6034
11,5,당일도축 대구뭉티기 한우 생고기 육사시미 육회,당일도축 뭉티기,20800,250,1,2,298,623,208,고기에 진심을 담다,4000,8320,24800,9920
12,5,당일도축 대구뭉티기 한우 생고기 육사시미 육회,당일도축 육회,20800,250,1,1,298,623,208,고기에 진심을 담다,4000,8320,24800,9920
13,6,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 250g,21800,250,2,2,7711,4267,1515,솔직한농부,4000,8720,25800,10320
14,6,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 600g,45000,600,2,2,7711,4267,1515,솔직한농부,4000,7500,49000,8167
15,6,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 250g & 보리소육회300g,38000,550,2,3,7711,4267,1515,솔직한농부,4000,6910,42000,7637
16,6,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,보리소육회300g,15200,300,2,1,7711,4267,1515,솔직한농부,4000,5067,19200,6400
17,6,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,한가득 실속세트 850g (구이+육사시미),56300,850,2,4,7711,4267,1515,솔직한농부,4000,6624,60300,7095
18,7,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,육사시미300g,20400,300,1,2,967,806,321,동인축산,4000,6800,24400,8134
