,key,상품번호,랭킹,상품명,옵션,가격,중량,복수 상품,타입,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,링크,100g당_가격,배송비포함_가격
0,1,6136542490.0,1,백십일 무료배송 한우 육회 당일도축 200g,없음,24900,200,0,1,863,1592.0,818,1,백십일,0,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=SXVRn30BxV9beLtgesXUKP%2F%2F%2Fw%3D%3Dsv3doOl0Afs1aITQ6F0U7XwxZjMIfMgKc24X%2FqES%2Fuvq%2BujfgJbNMB2WWL70VDrkeoCI1EnTxASX4I9kU82%2BgskgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4IMxa9sZs2e7zWZQpP5C7Sg7Q5ueSWRu1IOg8kHlQV2quKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJB5EISx5QEzvEVC8sbSw70CsN3HMNzpjRZBPSbhS62HZdrU9gBvTOY8XVxGgpGxxdsAJe5%2BCBwqPu8z9%2BolHAYQ%2BUAmzgM%2BOXCBJQMv79r%2BeY56dfhHNHq25%2Bgd6wjI0vWHM31cYcCKYwhehW9HH1c%2FbKfmGvaT5KpCaisag%2Fjxq1AxhEWmKaoeuJxx4qm9NFPGMmsgNj3aJADSPU2EB%2BmUIKcBuneu6Ir9N%2FV04TKejmELFO07QEQYUyi%2Bk709RTFHEL8Lj8Nqzb14FhAOIlphjOx38Sw4GE9lPhw5Icxo4YnMQPiCttJ84FwNqE8qPgDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=83681041978&catId=50004654,12450,24900
1,2,368963611.0,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육회220g,12900,220,1,1,8360,2379.0,341,1,삼형제고기,3500,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=eAoU4V3ZwnrtEGi4XDgu%2Ff%2F%2F%2Fw%3D%3DsCBumOnps6%2B8ct8eHNW8AhkNxDPi4eEybv22yYU%2BJ6oZvxAXzF6PXeMif%2BCBZw%2F3%2F5su1deBsVj0%2B8eIySukEQYZnlrSZr8PDPdBCvs8uWtdKzInqKADQtYsSu9KSIlX7Q3O9EsDRpcu%2F34Rj59a4JQkTLnJBJgflOELiuD8es50ol71SuAjGifkib6gEEh8%2BJxfYBSrxU%2BHc8r%2BjyXxpORDfSDBvRkBad9fdnOvVrJHGF%2F%2FjVNbx%2Bzm8rAXsnm0j2jb8aLBAi2gEvoFaSnpHu6sJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8RI0ugghJJiRNNNgcP7CB6VoBnxucnGi10MJb6Tq8dcxXfqiCwBtPYYwEdSt6i2JAbDHm4%2BMt4UnVfLXyEwalwR9aKc2jHVdRQO17PQDtiN6JywlDtpH7mH2YXAojP%2FxOtbwRwAxETKt7gbgzCOuZjlraPaHUDY%2FtbrnZWS0KBvEWV4FPeBK7DFD5yJMSMKJznFL13iihZVjruaqbDSuCAfUfcIDgsehYj9CvJInosrf7m9AzkTwg2AH7K1FORXSlVWadlAsNH3P8G1G8hS0XqtIUGoGy%2BbfoTy7U8wbQoy5xgbwjuovgZe6CF1tS2O2Yb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=9501105265&catId=50004654,5864,16400
2,3,368963611.0,2,삼형제고기 육회고기 220g 우둔살육회 한우육사시미,육사시미220g,12900,220,1,2,8360,2379.0,341,1,삼형제고기,3500,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=eAoU4V3ZwnrtEGi4XDgu%2Ff%2F%2F%2Fw%3D%3DsCBumOnps6%2B8ct8eHNW8AhkNxDPi4eEybv22yYU%2BJ6oZvxAXzF6PXeMif%2BCBZw%2F3%2F5su1deBsVj0%2B8eIySukEQYZnlrSZr8PDPdBCvs8uWtdKzInqKADQtYsSu9KSIlX7Q3O9EsDRpcu%2F34Rj59a4JQkTLnJBJgflOELiuD8es50ol71SuAjGifkib6gEEh8%2BJxfYBSrxU%2BHc8r%2BjyXxpORDfSDBvRkBad9fdnOvVrJHGF%2F%2FjVNbx%2Bzm8rAXsnm0j2jb8aLBAi2gEvoFaSnpHu6sJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8RI0ugghJJiRNNNgcP7CB6VoBnxucnGi10MJb6Tq8dcxXfqiCwBtPYYwEdSt6i2JAbDHm4%2BMt4UnVfLXyEwalwR9aKc2jHVdRQO17PQDtiN6JywlDtpH7mH2YXAojP%2FxOtbwRwAxETKt7gbgzCOuZjlraPaHUDY%2FtbrnZWS0KBvEWV4FPeBK7DFD5yJMSMKJznFL13iihZVjruaqbDSuCAfUfcIDgsehYj9CvJInosrf7m9AzkTwg2AH7K1FORXSlVWadlAsNH3P8G1G8hS0XqtIUGoGy%2BbfoTy7U8wbQoy5xgbwjuovgZe6CF1tS2O2Yb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=9501105265&catId=50004654,5864,16400
3,4,5171622158.0,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육회)300g,18000,300,1,1,867,1089.0,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,https://cr.shopping.naver.com/adcr.nhn?x=i62rZsgDzI0Zb%2FZnbhtUu%2F%2F%2F%2Fw%3D%3DslGHgDXbMYmOiQKVLoOogX5nCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yK5H5zy69tzOXDyqRTWR9Lx9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtXxfTwUVbuS3J7s9VVCQGC6yFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDTX%2FOcS15YBue0yGYPcHe%2BUlJNEfxiZVsPB4XIC8rC7mKIEPy9huh9JNuR6eleqJXkJfWaEyL1ZfUwrhWTBelwy7cL4oGhdXvjOjRZlBE6rsQ9hI2EncpuzZcZm45MTGLTEGKawbjhYN6UZqgl1aNHn99p5DfyJodySpV%2Fa9PZaeuMoAfAmQKHur9y3kG4a6rdgKIvijjVNrE5M0LMN27SqCSZE3%2FxIBXWQHuLXEyZbNIUpIbAQHy7MZg35kGMRIMuS4nzLIj%2BNe9KTroKRWtReQCU4rA9qEITJh30T6VqaOuPzm7VEVJj%2B%2BO2rA%2FOinDQYkWsjAey0YYdnf%2FQ5g8wHPmAwTVSzP3UXrA%2BHNuMRYHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82716143302&catId=50004654,6000,21000
4,5,5171622158.0,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육회)600g (+18000원),36000,600,1,1,867,1089.0,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,https://cr.shopping.naver.com/adcr.nhn?x=i62rZsgDzI0Zb%2FZnbhtUu%2F%2F%2F%2Fw%3D%3DslGHgDXbMYmOiQKVLoOogX5nCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yK5H5zy69tzOXDyqRTWR9Lx9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtXxfTwUVbuS3J7s9VVCQGC6yFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDTX%2FOcS15YBue0yGYPcHe%2BUlJNEfxiZVsPB4XIC8rC7mKIEPy9huh9JNuR6eleqJXkJfWaEyL1ZfUwrhWTBelwy7cL4oGhdXvjOjRZlBE6rsQ9hI2EncpuzZcZm45MTGLTEGKawbjhYN6UZqgl1aNHn99p5DfyJodySpV%2Fa9PZaeuMoAfAmQKHur9y3kG4a6rdgKIvijjVNrE5M0LMN27SqCSZE3%2FxIBXWQHuLXEyZbNIUpIbAQHy7MZg35kGMRIMuS4nzLIj%2BNe9KTroKRWtReQCU4rA9qEITJh30T6VqaOuPzm7VEVJj%2B%2BO2rA%2FOinDQYkWsjAey0YYdnf%2FQ5g8wHPmAwTVSzP3UXrA%2BHNuMRYHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82716143302&catId=50004654,6000,39000
5,6,5171622158.0,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육사시미)300g,18000,300,1,2,867,1089.0,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,https://cr.shopping.naver.com/adcr.nhn?x=i62rZsgDzI0Zb%2FZnbhtUu%2F%2F%2F%2Fw%3D%3DslGHgDXbMYmOiQKVLoOogX5nCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yK5H5zy69tzOXDyqRTWR9Lx9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtXxfTwUVbuS3J7s9VVCQGC6yFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDTX%2FOcS15YBue0yGYPcHe%2BUlJNEfxiZVsPB4XIC8rC7mKIEPy9huh9JNuR6eleqJXkJfWaEyL1ZfUwrhWTBelwy7cL4oGhdXvjOjRZlBE6rsQ9hI2EncpuzZcZm45MTGLTEGKawbjhYN6UZqgl1aNHn99p5DfyJodySpV%2Fa9PZaeuMoAfAmQKHur9y3kG4a6rdgKIvijjVNrE5M0LMN27SqCSZE3%2FxIBXWQHuLXEyZbNIUpIbAQHy7MZg35kGMRIMuS4nzLIj%2BNe9KTroKRWtReQCU4rA9qEITJh30T6VqaOuPzm7VEVJj%2B%2BO2rA%2FOinDQYkWsjAey0YYdnf%2FQ5g8wHPmAwTVSzP3UXrA%2BHNuMRYHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82716143302&catId=50004654,6000,21000
6,7,5171622158.0,3,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육사시미)600g (+18000원),36000,600,1,2,867,1089.0,418,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,https://cr.shopping.naver.com/adcr.nhn?x=i62rZsgDzI0Zb%2FZnbhtUu%2F%2F%2F%2Fw%3D%3DslGHgDXbMYmOiQKVLoOogX5nCmhb6OlPB4%2BhYKs3MT242T%2B2I7vM1lywjaE2447yK5H5zy69tzOXDyqRTWR9Lx9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBthKahDkMerOzRKHesbPYtXxfTwUVbuS3J7s9VVCQGC6yFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDTX%2FOcS15YBue0yGYPcHe%2BUlJNEfxiZVsPB4XIC8rC7mKIEPy9huh9JNuR6eleqJXkJfWaEyL1ZfUwrhWTBelwy7cL4oGhdXvjOjRZlBE6rsQ9hI2EncpuzZcZm45MTGLTEGKawbjhYN6UZqgl1aNHn99p5DfyJodySpV%2Fa9PZaeuMoAfAmQKHur9y3kG4a6rdgKIvijjVNrE5M0LMN27SqCSZE3%2FxIBXWQHuLXEyZbNIUpIbAQHy7MZg35kGMRIMuS4nzLIj%2BNe9KTroKRWtReQCU4rA9qEITJh30T6VqaOuPzm7VEVJj%2B%2BO2rA%2FOinDQYkWsjAey0YYdnf%2FQ5g8wHPmAwTVSzP3UXrA%2BHNuMRYHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82716143302&catId=50004654,6000,39000
7,8,,4,현덕축산 국내산 숙성 육회 사시미 300g/500g (냉장),육회300g(소스x),9600,300,1,1,5368,,124,0,현덕축산,3500,,,https://cr.shopping.naver.com/adcr.nhn?x=AZESnKRL4NMJweq%2FTS%2BDrf%2F%2F%2Fw%3D%3Dseq8agCm%2B9Cea%2BXSucszfTiow1vf046UOLCv74jQ%2Bt2AmYHVAePfhYk307zcXaFxD66w2xCYCiIn21m5U05z5x8i30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbSwj0xaT9YKsZ8lm3Fq7yQ1cam4jo4DXckC8xCADBtDRAhNaJEXNX8QHOF1Rf1wYe5FH9bSwXy4EaVDkUZJLL1ucitef751FAQVRP7MhGK3JYlxWJ%2BBeatMY3dCkJKtuvhgTQQ5UW9VPobGlHMvfdPVcv%2BjB2erv%2BZ%2Brrs5VHOiTRLlIk0uAh1LVcUK1nkYRMYCsI4WkVRksCYtNbNcDvkNYDGfNTLEwfgoz%2BDFELRf8i2oe3Brm2hlEkZ%2F%2FF5sA4SjPrfQ12IEIMtavg1Bi33ns3zVaNSnElUms3mYOzPgGlG%2BxFq7Z1r%2Fg32RFzPOtd8TopPFHzRNetHRc22NZbYUSI0wD%2FxpBkML2tMkH1R%2FS1wTfJ4oKijlLwXf2UaB0wRoZgkW%2BDLx4G9KDlLE%2BId9Ba5l9mN6FcUH7G7%2B4m%2BQMl8CXl251OpmWizflz2KEWce470NdqgFWGpg%2BTTE0CwwNgcei1YjCkgSj%2F8aOoR5zXNjqh%2FZemCCOboDhnweAmG&nvMid=11241780380&catId=50004654,3200,13100
8,9,,4,현덕축산 국내산 숙성 육회 사시미 300g/500g (냉장),"육회500g(참기름소스1개포함/변경X)(+6,900원)",16500,500,1,1,5368,,124,0,현덕축산,3500,,,https://cr.shopping.naver.com/adcr.nhn?x=AZESnKRL4NMJweq%2FTS%2BDrf%2F%2F%2Fw%3D%3Dseq8agCm%2B9Cea%2BXSucszfTiow1vf046UOLCv74jQ%2Bt2AmYHVAePfhYk307zcXaFxD66w2xCYCiIn21m5U05z5x8i30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbSwj0xaT9YKsZ8lm3Fq7yQ1cam4jo4DXckC8xCADBtDRAhNaJEXNX8QHOF1Rf1wYe5FH9bSwXy4EaVDkUZJLL1ucitef751FAQVRP7MhGK3JYlxWJ%2BBeatMY3dCkJKtuvhgTQQ5UW9VPobGlHMvfdPVcv%2BjB2erv%2BZ%2Brrs5VHOiTRLlIk0uAh1LVcUK1nkYRMYCsI4WkVRksCYtNbNcDvkNYDGfNTLEwfgoz%2BDFELRf8i2oe3Brm2hlEkZ%2F%2FF5sA4SjPrfQ12IEIMtavg1Bi33ns3zVaNSnElUms3mYOzPgGlG%2BxFq7Z1r%2Fg32RFzPOtd8TopPFHzRNetHRc22NZbYUSI0wD%2FxpBkML2tMkH1R%2FS1wTfJ4oKijlLwXf2UaB0wRoZgkW%2BDLx4G9KDlLE%2BId9Ba5l9mN6FcUH7G7%2B4m%2BQMl8CXl251OpmWizflz2KEWce470NdqgFWGpg%2BTTE0CwwNgcei1YjCkgSj%2F8aOoR5zXNjqh%2FZemCCOboDhnweAmG&nvMid=11241780380&catId=50004654,3300,20000
9,10,,4,현덕축산 국내산 숙성 육회 사시미 300g/500g (냉장),"육사시미300g(참기름소스1개포함/변경X)(+5,000원)",14600,300,1,2,5368,,124,0,현덕축산,3500,,,https://cr.shopping.naver.com/adcr.nhn?x=AZESnKRL4NMJweq%2FTS%2BDrf%2F%2F%2Fw%3D%3Dseq8agCm%2B9Cea%2BXSucszfTiow1vf046UOLCv74jQ%2Bt2AmYHVAePfhYk307zcXaFxD66w2xCYCiIn21m5U05z5x8i30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbSwj0xaT9YKsZ8lm3Fq7yQ1cam4jo4DXckC8xCADBtDRAhNaJEXNX8QHOF1Rf1wYe5FH9bSwXy4EaVDkUZJLL1ucitef751FAQVRP7MhGK3JYlxWJ%2BBeatMY3dCkJKtuvhgTQQ5UW9VPobGlHMvfdPVcv%2BjB2erv%2BZ%2Brrs5VHOiTRLlIk0uAh1LVcUK1nkYRMYCsI4WkVRksCYtNbNcDvkNYDGfNTLEwfgoz%2BDFELRf8i2oe3Brm2hlEkZ%2F%2FF5sA4SjPrfQ12IEIMtavg1Bi33ns3zVaNSnElUms3mYOzPgGlG%2BxFq7Z1r%2Fg32RFzPOtd8TopPFHzRNetHRc22NZbYUSI0wD%2FxpBkML2tMkH1R%2FS1wTfJ4oKijlLwXf2UaB0wRoZgkW%2BDLx4G9KDlLE%2BId9Ba5l9mN6FcUH7G7%2B4m%2BQMl8CXl251OpmWizflz2KEWce470NdqgFWGpg%2BTTE0CwwNgcei1YjCkgSj%2F8aOoR5zXNjqh%2FZemCCOboDhnweAmG&nvMid=11241780380&catId=50004654,4867,18100
