랭킹,상품명,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
1,한우 대구뭉티기 육사시미 소고기 육회 생고기 300g,21900,2842,2519,1119,1,아이러브농수산,4000,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=p2vILkG9zw0855lvueTYJP%2F%2F%2Fw%3D%3DsIaOSzbnFCm3spA%2Fd062rw3KkGY32MUS6J2BpUeaSWtBQYEJTd4P2nAPBVcAUBoG0MP2iOJEZJkjNCNrML%2B7F7tof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWtqQuQeSSRtMgsWniwY4GSRopydfLjm5SparrmzgfV9%2Fg1o0Jvmu4xgx3NIlBt6W%2BBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQ1sf1GZKvhSQ8qmLZvKvvI9Pcc6Nk1QwYhl6IezEU8ql18On0%2B4OT76dMX121gsZ4Hs%2F2PHkpmvWjL2qy1nHubVN5xXWCdyy%2Bk6uhejJBQFqM%2BCHSiGcH9H47CwxdqOrxdrU9gBvTOY8XVxGgpGxxdSvzdr%2FkWN%2FlByZ1lhltJUO5W%2BgK0iS26QXLG0CDpVlwzR%2FhPAZpnnjGexpJuNkxUtjVMMxA%2BtIgfvaBqMhPHLUkQVMFXPfKVxY%2Bdt53qbNivFMvWrDpbNIW2Gnu%2BEP7qZ5tbbc3HRX%2B%2B7XFghqYATTFmTKpRRN%2F8RdPE3rsKTJCmsy6kb8NGoXh%2F4hI7n6ArkAlOKwPahCEyYd9E%2BlamjuOcUThRBreeFwnxpIKkUI4XeuXDCSDaJLJtodl9kAVilICG7e8i27Nkrss8VQluaR0cjwVm1BUYVknE7IEMpz4%3D&nvMid=82631381835&catId=50004654
2,당일도축 대구뭉티기 한우 생고기 육사시미 육회,20800,296,618,207,1,고기에 진심을 담다,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=xUtWoVwYxIN26Id6VFH8JP%2F%2F%2Fw%3D%3DsQCPXKkByzlXGV%2Befzahua%2FZKVOK0zjgffoMTGkQ3Fyld5PtaW17j01A1CvklLFMx4M7CsSR1GSYp3LfIjxkLoUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27gEY1gCtzfgyYq6fLusNbYekEENpZx8tDl%2Fb%2Fz3JqNpu6ptoKrAmIetMms36i84IyMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO5UCq1wS0gyiuePYzktKp6qNh1S0A3YCITGtT3YYYouyoJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtbYwAa8uJ2wUUYHW1d4kc%2FI92NMUeX12hiw3OKRgQgAuKIEPy9huh9JNuR6eleqJXhqnTbFUBQp%2B3g29YWR2EfdcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNse7xE0WC8Lew72fGWtUYBbte1LUs0dd%2FjHR%2FPuSWLIEiQgupYTeAg0mxhqmS2NgmVcyVnkBVz76Cdi7CLMh3Rw%2BedvAkuJ5YDkZ9hpo9o6VD%2B1GzYyCQAVsDO6ulMSblvIr6%2B9LER6nGucq1XcPklB%2Beq%2F4EkbRI3cB2oH6A7pKMsSphalrpIESTK5CqpRYSYKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=83973494775&catId=50004654
3,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,21800,7697,4368,1518,1,솔직한농부,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=CnzqNKl3h%2BCxw4jw%2BAq1%2B%2F%2F%2F%2Fw%3D%3DsTjNzOtoFU37YfntYYOo9PA9LMn4yAb%2B5Kym9xYs7gPtQYEJTd4P2nAPBVcAUBoG0aF8I3xYjvtRCedItsel0yNof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWtqQuQeSSRtMgsWniwY4GSRopydfLjm5SparrmzgfV9%2Fg1o0Jvmu4xgx3NIlBt6W%2BBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQy7zyTltt7J972O9IVr3NwsUZF75o6Vy53MF3xUBpZuF18On0%2B4OT76dMX121gsZ4Hs%2F2PHkpmvWjL2qy1nHubheBzop7ZxUa4hpzOk3GwBFtES3Xgv4N5%2Fif177m32DbHvY%2FUzN94OzIr5wG3PfiAG8BknuzBWV7%2BKlX2XPFiqTUuwAP3KijYH265m%2FMXlZmb8bjZ7alCHNogrrRapUwTAX7ESigxd2p5DIP9GeFSB6c%2BPqojnpUwDqC22D4v3bgkZa4BOCfFqowelaKiA4AzX3fUy9J8C3VsOPA0Rwae9WXTsktnoG86u%2FvRD1s4IoLc4YyA5bjplEeyWZBkczi9DciDJMfK4xyPAwnfhif7XKvtUBvfoSsQPvEM6ZWUZTocfKHQvIz7AoRIRSysskaZd4%2Fj9PZ5hHDXlTV2t6DKoaVyzyUxw5SM0wIq1UN%2BmF6CqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=82307515528&catId=50004654
4,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,20400,958,814,318,1,동인축산,4000,육회용,,300~600g,,https://cr.shopping.naver.com/adcr.nhn?x=xkKMdBcGNHebu6xkGHa%2B4%2F%2F%2F%2Fw%3D%3DsWVXVUwyWraN0VLOMvts%2F2RFrj%2F8x%2FsLXFf9IkyWMSveCmJZfxLVXf7ShASMmBEAqfYY119goJtnjJFPlT%2Bt0Yh4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQndKzgZV1AQ8SPvdcv5mPbc1OY7744aGi8T63r3hVt7JCArtLDWVpCdNKBTd6D6tEw3lUD8z59DPnAU66jF3K2s%2Ba0O2TX7GIDZW3de8vjU8wDRg%2FhSzyfV%2B1RbWOSZD05WZZ146ONo5oct%2BP79W1m3d4an%2FzTqhVRN5HiEzJvDPKk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdAVybY49WvkTAAgd2lwogGDunWRLOYouuKm7treA9tHwrXb%2B3d0QTOTIl2QL0uQODMXvKvhRMPNc72H%2BMFo4LxISoOI%2BVdCLeke53qjjroh9aMenjEirKA%2FuiEF9RxjowGPpaiWADqUgdqsxUCFC5XPvy1bBphYjx0hXyDICRnLlRC7NSV5%2B2iiRL8IM5VHbeUwvXeEzSSZnyIYl6rMNbXResM%2FHoeiT%2FF2t5g18zbr6LC4GIx6Gaq5VStwSAwNSnPfZfNT0AmNAEAkDZ6d6GuUR0bchcx4qvuJCBN5UcaX4cj4Q8g0Fi%2BjPeNQxHfFmq43LA22rZpxERt72EPOlaxpWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=82376023153&catId=50004654
5,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,16900,238,575,306,1,시장마트,4000,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=BHvIPc7tA1QCDu0zIyknm%2F%2F%2F%2Fw%3D%3Dsk6G2HX2SUP5QLYhyS187ZnikLRVK3yUAPs1HwpQF%2BhFd5PtaW17j01A1CvklLFMxE91N3dbM29V3DASUx0xwn0bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27gEY1gCtzfgyYq6fLusNbYekEENpZx8tDl%2Fb%2Fz3JqNpu6ptoKrAmIetMms36i84IyMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO70q51pJnspZ5aDVsuHLeFgjnJATmxJYNLNFhtIBRulTYJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNnlYj8Y%2F1VWggQCQZ1Rdc%2BT2VxPkPNytk3gD%2BIpQ57wWKIEPy9huh9JNuR6eleqJXoEp%2FbiTcBvSuJm44AzDncJcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNgJcizpsGbapzBWgOCwwzrIZVjaHgaIkby9kBjDqD6jvsFCLIxp%2BZRbLyjcV2m2TxMEXvUnO%2FkhvNu3mfYcx4Q9b0XFrlEWydkSPnkdb%2BotpJaIWibq0UHF7ZDUp87gD%2B92dRUSSHdI95PA5EoApmTvVbaBkL5q2U304D1P0QvzX7mzWwnCC4W4v2AerrcdwNezh8kuyqGewvnkShOfQVBMDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=83307628360&catId=50004654
6,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,18000,856,1085,412,1,소문난정육점,3000,"육회용, 불고기용, 장조림용",우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=mClVj9MQuGCtZFimDFwHzP%2F%2F%2Fw%3D%3DsrdjV2uxt92DA16Cq9yuxXZnCmhb6OlPB4%2BhYKs3MT26CmJZfxLVXf7ShASMmBEAqkP1RaQ5XGgCTTymsa6APch4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQndKzgZV1AQ8SPvdcv5mPbc1OY7744aGi8T63r3hVt7JCArtLDWVpCdNKBTd6D6tEw3lUD8z59DPnAU66jF3K2s%2Ba0O2TX7GIDZW3de8vjU8y%2FFycp7g1%2BIunKTr8rwrUwh02pvfX3xYdPL2Ag5WCAad4an%2FzTqhVRN5HiEzJvDPKk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdNiN2KjgA%2FEc%2BOtRKNCNmOvJr85JKD7FYMDixE0zZmz7rXb%2B3d0QTOTIl2QL0uQODN02a6sxdhFUDSk9lUoQK0PqbPnowaWHl5EI43Qf6nt9Qy5F20Ms3hYraJqRlD4NkU8Ef9z%2FOV2HYXNgSbj612mw2cqVif%2By5pWd%2FB0rKmIgHlJ8i2N7uJkCq%2B5b%2BPzK8nkIe7DGQv3LB9N6kxFu%2F4mP%2FZ%2BmsPdivU%2Fpkljpa0E8PGMmsgNj3aJADSPU2EB%2BmedTBS3GsDUQeEcuV5fQcWHmELFO07QEQYUyi%2Bk709RTZ2nf0ZNjJoSuRD0r8fZec2aDCitVtkIQC%2Bo2tUsPANaMeaIUBXe%2BF%2BICXGeJRu8jhWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=82716143302&catId=50004654
7,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,11900,27,52,26,1,전라도청년,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=XE1NWKooxoEp%2FNHXQlFQ6f%2F%2F%2Fw%3D%3DsGAVOiLU9am6QJKbnTCD%2FfYGVgnOqzCHFTQpbgBOVf1FQYEJTd4P2nAPBVcAUBoG0Kz%2FGWKQeoSVHso1%2F%2BIxUJNof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWtqQuQeSSRtMgsWniwY4GSRopydfLjm5SparrmzgfV9%2Fg1o0Jvmu4xgx3NIlBt6W%2BBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDRr%2Bb1%2Blk20C9S7Nu68gGwxGEw%2FICXwe87ema2Xgyo4IV18On0%2B4OT76dMX121gsZ4Hs%2F2PHkpmvWjL2qy1nHubiCR3zibYdFdIEAsSctUZpOfeqh%2BCwp5LCJr82gKLAmZdrU9gBvTOY8XVxGgpGxxdvblbe8qR311BYa2Z4hTc2yvx79ZIW11JD%2FioiA9oAoFQ7hlhb3iYi773FU73S3wiT4vmDcvu4mzVHDJLNY3WhWgi%2Fxwb7APwwhiU7UfFr1fbCBEqFU4gB39BQQMCjk01M5gAsuokRCQUMNzOT9iWFwxmIgOmfh2wghYoq6OGKM1BvaiPdc02juxcjHGnRKshVy5OKXZtMHuUfXelZulnBqvtUBvfoSsQPvEM6ZWUZTpA7O2mgeyMLIoAZobDf4%2FhsRz12Y1wzW9WF2rCpW4RCstqjZeeQz%2BydQX3caYJRA4OEsHC78VBLnFZh%2FnDobeN&nvMid=84204919892&catId=50004654
8,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,14800,528,737,333,1,그립소,3500,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=xeLnQGr6bs660jS80b0AGP%2F%2F%2Fw%3D%3DsPYbSZevJpE4EaYkcx0efmo8Inw0T7klsfC4lYsAoU3pd5PtaW17j01A1CvklLFMxG%2FLUHeMAReJhAEkjjDePQkbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27gEY1gCtzfgyYq6fLusNbYekEENpZx8tDl%2Fb%2Fz3JqNpu6ptoKrAmIetMms36i84IyMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7C%2BLVAwdfC1EETLbyWwH8eKbW1fIL7mk%2F4zxMeQ8D31IJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27%2FhDyiXZ86Jo%2BZEQ64BV62ZP%2BpPd6hQfV5%2BXw3wMZ5MCwB8z31o1ouUxGK7maDUlWKIEPy9huh9JNuR6eleqJXs41oD%2BJk04x9tRyKi9hUN9cSleoFxZpYEh0mGGbDRSncl36m40J4cZpkaCXQq5%2FWlgvX0w4R4NU6IvvxFSnIGiKHo%2FyT16736pMtPCEEvfx%2Ba1jLQOVNybbQbS5UcUfuIx2EDdtBEOqUyYEhbnfDxefzdVKFUBJZQIF7Z1dJZQ%2FA9E55JJzOT74xdn1HKWMYzkQSHPAcPC60NtocUp%2FTmjOkzT5LB0McRgapzqJ2pXHGDJgNOnsgO1K55hEPma%2FmcIDCM2noYiEwQxI0hgu9SiZd8iSZZEtCdsbvczoO56ezY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=83296964154&catId=50004654
9,당일도축 대구뭉티기 한우 생고기 육사시미 육회 250g,20800,4081,1485,571,1,관문시장 김수현,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=AnmWV0FxINYryHg8kUPznv%2F%2F%2Fw%3D%3Dsp4i6gT2PticjpPh8Fk1yimrkxciJxBqvg1RKLWo4JyBd5PtaW17j01A1CvklLFMxl4kRUsM0vb9Jcnx%2F6wQmX0bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27gEY1gCtzfgyYq6fLusNbYekEENpZx8tDl%2Fb%2Fz3JqNpu6ptoKrAmIetMms36i84IyIRpk%2F3naDVH141FQydqSq1JReKPpLs7eM2%2Fs8wOUAelo%2FXexda%2FUBPn9PPM7WxwG%2BnDAFNKwg7xSDm38nSoykSBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSenh%2FKPCuF3lWk8B2WwxZW12SEHrFNkb%2BLkAyG1izCSgnrXb%2B3d0QTOTIl2QL0uQODPQi9jJ8TooCa4%2BpOGSBse8SoOI%2BVdCLeke53qjjroh9nZYbuIbVbl0ILHsfAss7G3Ri%2BX6%2B6Mr05HFjypQ%2F9EElvaD2%2FEAnSHo%2FDtDNQcY1DnDXSuqK690cOAVnG9Rrc%2FrhS9BoCeRL6a9CVecYrUmpyZgDGkkKmqKL0igANhlR%2B1H4DD5Rawg0cWt37E46URnMusPaYdk2RLDI3HApYbPhWFzr0Qy15TvU%2Fb5DnVfABCXSD7fNZJeDPLbitWwzhVdznR4EhPC6BI08fc6TT2xWkbDrUFJ2hBG8QaB8WVzn&nvMid=83582091906&catId=50004654
10,한우 육회 육사시미 생고기 뭉티기 당일도축,22900,872,457,338,1,땡큐파머스,3000,육회용,"우둔, 기타",300g,,https://cr.shopping.naver.com/adcr.nhn?x=uPi82oqzbd38AJE9NqilZv%2F%2F%2Fw%3D%3Ds0lYzVPsy3%2FAp4tWKHH9pEaMQ%2B55JtgeMWBdUKvs1SfVd5PtaW17j01A1CvklLFMxVBWFsHtLbz3w7z9s8p%2BZYUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27gEY1gCtzfgyYq6fLusNbYekEENpZx8tDl%2Fb%2Fz3JqNpu6ptoKrAmIetMms36i84IyMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7e6Cfj0zp%2FFL4wE2bUtdnjT8zukqMKr4V6blkOqM3TioJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtZnh8uMOLqv%2FgU6ywccQxYo%2B0AjMRl5kq61Fkrwnb952mXDmIOOB6kamF9uF35YumCfwIC%2B2fZG%2FE1eO4Q5187bWVwGlh1vSLVzNx3mInn93Ucl%2FIm5WHHtIvtHwjnOfLQKTmRKfxIxm5dx5FyZronbR%2FD5f1jye7xliLAFUtNnVKE6Ywy6dbM02JDfxXdUS8R2tUhgwLyRjc8Nxx2CLKVjfrTY2abXjh4us1q5hkqGEGhuulcFoXGZ14T46z989%2BWWAze84AlU7t8Ya48BmUl3eEYhikarFsFMjCSJVezEhVoWd0jB03C5aYq3HUc1IKtSSLJQZncWk8e8Ttfjz6Fs%3D&nvMid=82954799432&catId=50004654
