랭킹,상품명,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
1,베리네이처 무항생제 한우 다짐육 이유식소고기+유아식 300g 1등급[냉장],21000,4773,8764,747,1,베리네이처,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=nA%2Fwy2pB0eqmoRX%2BZDQWG%2F%2F%2F%2Fw%3D%3Ds77UR2foJcRNMahhugn6sAgRkmJEpRQ4DD2FxViRTGqz%2Bohq90wKPLRDvr94SKjzEOuBymgA6hlFQnI1U%2BvD5Lx8LWj%2FM7r87ZsnADkqlB%2FOAbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPuth5NMczOd8eosxuTNamg6d33EOp2lfuTqdgTcmIm1k94FvI2MNgIeJlnNeh0eeIcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NsrAnplln4QF3iuM233WzzRg1bwUqDyCRdjOJQZPgXfaAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FcMWPv9Bc1%2BxSr7moIIB%2BnPYWbsY70Q9kpMRpdFfHyw5IvqsuIvkWBzuDvD5f3gldGd6uOHIrjMRdo6P2Via7MlEVp0igryvMeq7nwyxkaknmonhRR0xdn95Ctc38T4kl002cZYclx9EQ1VZ1cOWf7jux2vmov7DMx5pDIk%2Fo5Rs6AR%2FFrREy7ktvM4JBbVIhi9V4R%2FfmiGYfjD3qtOuxuaCyOUDrSvdYoD9A261KGTVPGMmsgNj3aJADSPU2EB%2BmWFfwyl8hkox81eOLS4PNDzmELFO07QEQYUyi%2Bk709RTnJ1LA%2F0hbhGoH%2FuLVcFLk%2FydC%2Fp6wEqPruxSUebYzcseuf%2FYtVlymHc9xR0bZ8d4DhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=82911658157&catId=50004654
2,[백십일] 무료배송 무항생제 한우 우둔 다짐육 소고기 이유식 180g,19900,523,1104,554,1,백십일,0,"구이용, 국거리용, 불고기용",우둔,180g,,https://cr.shopping.naver.com/adcr.nhn?x=XLzeb45l3cr6X0hN%2FLQ4RP%2F%2F%2Fw%3D%3DsLxv7eWjUZaifjHM0SlG6%2FwHCM0gnaHYQRgMQIQrKSlr%2Bohq90wKPLRDvr94SKjzEFI3uCPfq6i2Aobjy1Kp7qN3BxprnXpgd9HtrBNLYkd2AbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPuth5NMczOd8eosxuTNamg6d33EOp2lfuTqdgTcmIm1k94FvI2MNgIeJlnNeh0eeIcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NO%2BHHxzkcmaf6tMy3wAJl4hg1bwUqDyCRdjOJQZPgXfaAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FWzKBMMejvuWmlFp0lDMTtYabEhvrAVanGUww4N3M61lIvqsuIvkWBzuDvD5f3gldCAUURiwKRf58dlvOj05gqIVlyFDCq%2BZVFE5vJHx3cUBJE2mCdZpNKCZS7IXL%2BX2%2FO9li595Yb0ZcjaXfcOs4t3DzUAGy0GmZo2ajFNHw9v%2BJyy2bkuDp7JLwzmmx32peGXyPwtBuhK%2FlXT1KaQ4k%2BzB2FLwD2QgA%2B0KMqF4WxxwKHqQlRa%2B0B3nPXePkHFKL966gvbEilrUPuNAbpyanJMeNJE0qlQBPdn88DcVWPqaft0eyDfBdHwuQcOhUdR0XZXIRZGRW7goecNbfCuMSIRWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=83698576518&catId=50004654
3,[초록마을]무항생제한우다짐육(300g),26800,6,,0,0,11번가,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=lI4pivHXn1tG0zPvoM67Qv%2F%2F%2Fw%3D%3Dsxil9E0VgcUyyskApv0x3K17Nwe7OP%2FmpYCnLW805Jvf%2Bohq90wKPLRDvr94SKjzEIe45VNCvn0N1X9na44KaO5TZi3ymh%2B3X4bDnk53JaY2AbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPjupEPdJqaL0t5CcXX6FOczsf0ZVFibyXPHXmk1l3oVmrmQGcTPsyRF3%2FKc%2Fr9KIHlVYZ5bt8C2qIgIK%2BKcb50OQ5Hn22Pw%2FjgdMbqt66tJcJ0jYVH6Yd%2B%2BgyxHsXWcL6Fqgh9xSCGKdpSF0Yi7Dn8pPkoMHZf%2BlFTdoL%2Fq%2BvITs0n%2BE7e9dXC9gkxgGEaFQQkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEp1zxphzsH5yWYn2QKRcK%2BULCyFNFyp5PFRDjasS%2BIRv%2B2oe3Brm2hlEkZ%2F%2FF5sA4S05jn%2B1d6YfjcChTzGcovos3zVaNSnElUms3mYOzPgGnN5a0yb1hhRNwoVXJ%2BV%2FLfFltegvuZcLkP%2F0VBYmhWwZhpZKKpKsEVuxBgawOG150oBADA%2BrQTD50UZPWSs%2FViD3UQwn5Iu9ibnzr8xTE%2FgIOuAKV6RXG1Is03XJLviBfMundKisfgfKLXxtvhjm5Fy50q1Hj6Jz7sEMqiclf%2BKG%2FBbA6VpLvqbGtbWvWJsm8GruH08DlKshetxY8KUEZb&nvMid=32947591337&catId=50004654
4,1++등급 한우 다짐육 500g,27500,22,,1,0,홍천명품한우마을,0,,,,,https://cr.shopping.naver.com/adcr.nhn?x=DkjlUjzPasXF7xobty4szv%2F%2F%2Fw%3D%3Dsp2jIUdWRS5tpHHHcLxUqnA%2FAS4ugb3NnZergbVO4bwv%2Bohq90wKPLRDvr94SKjzEu6qI1tLAXP39necwRtMcdRT2s4QH8wxoKrxv7%2BtbMD%2BAbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPjupEPdJqaL0t5CcXX6FOczsf0ZVFibyXPHXmk1l3oVmLqYpUaonvESKnmBlORcMSPgUw0InD9IZvv8JmLXe7iuNMl1Xp4buzoN%2FPQc0Gr4NkJViKbQBpJsrlaEgrcpOPotf%2B4DepS9N5tklgySYYfIVhnqViWHCTzYPTVW8PvL2X44FSaRt6MWRXImSQm8ku6AXO4Ih5W4KTex6PCOqHNhCzkNKDhaOev7L4LJaYIX19%2FHOlqpZtzsJjKeJ8NLGCoJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27nXOSVCysSuaF7Of2P30WF9%2FhpkdapTzu7%2BGMKXfUoD1pcQ9JNInFJ3gONrE6ztrcJonno7t%2FWe1LBt27H2ZEqjAwfeAjz7cbB3xMGOZOIX3OPUp%2FNO%2FodgBLgsPwdwAc0%2FHz0D2ed6sH4%2FW9JOBzLiv8Ja8oP7pQguavWMIlg0gzwhHqiQ317maTC7NcWJWEU4cPkS9df%2Fnx1sl80gkwziKRManO8ezcJ%2BmORBTIFwCK6mFCHWH6JxY2Og5axPdcX9tVopS7IrT9EJqgHiEhp0HQIiXcF4qwUXZ2sX76wW8%3D&nvMid=26093152992&catId=50004654
5,올가 유기농 한우다짐육 120gx2개,28380,,,1,0,G마켓,0,,,,,https://cr.shopping.naver.com/adcr.nhn?x=IwNMjkxN9uIiMtjTpFs2PP%2F%2F%2Fw%3D%3DsPYZeijJ5OV8bDlM6nvFPFAc5rJqd7AvukUjHxYzmedQw0b%2FX32UjGonFLbhHu5mUvOWcjp4Qutdo5qxPQhZGSex9DJDQgkRn%2FRm9hgnoKxXDpmNu2Rs3tEPrV0ZTODsb7JQtrMqSgEftbsAH7BzOjtfRWwGZuDc6Jhu2ZUWUCyrxFYr8To9sSDPXGiJRrQyx9206Pe%2FPvdnNvJ%2FXgat%2B0xwjWpYvNgLjiG0HhNz8r7ZTHG9e0sA%2FeBePoi%2BFlBkWgwUqMVXes84r51yPNjqiOu8qUP4ELLl%2B7ouBdW%2BdmrJXFYsKlptb5mTCD1ofUkrGs1nua%2Bd3ff14%2FXRqhyekbAo7lL8wYUgY%2BpulvHIv%2Bmm%2BynXOQ4XoZHhE2dsdKeooVV3pn6Znl%2B9MAtsEE%2BZ8ouacYsA2T1ONC2M4R1%2F3Eb%2BV2IvQgg4%2F2b4xA98Vduk5v9OAQbFvoz00Z8EOdVfO2Quw2BiOhVKS2SX2wcm%2BZsK1%2BnH3TwcCLND6LHRg71bxt68qsAYyVpS7nsnCGWJlX5JtjIdY90PgUIypQOFEuyNs1viQJ0PcVOjHlUOEaoSTItmui7uoE9LTy2%2F9HdZ1OOkFeWYJuL162TbrcClrGE77SL6JgSZmbKCx2chGufekLYGwrul9chVgCxloYgdFXMXQGj%2BxQ9jfgA7x4sGDSS2OjQd80dhmRfhu0sPUvdNDy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=32919143640&catId=50004654
6,먹고식탁 명품 한우 다짐육 간고기 200g,12900,,,1,1,윤용현의 도끼농장,3000,국거리용,설도,200g,1++등급,https://cr.shopping.naver.com/adcr.nhn?x=xzCE09pwhY5iQirOyFsJ4%2F%2F%2F%2Fw%3D%3Ds6%2BYCiGhRJMqq%2B8M20007Iemq%2BHBNiu%2BrEk6ZfdgdIm4w0b%2FX32UjGonFLbhHu5mU4Ccqa6wuk449dx%2BDbefbqsqfX5froohSi3Gw4IV6I87DpmNu2Rs3tEPrV0ZTODsb7JQtrMqSgEftbsAH7BzOjtfRWwGZuDc6Jhu2ZUWUCyrxFYr8To9sSDPXGiJRrQyxhSsUNhqG1UibVNZu2CZLykS%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOaD2OELkMvYbIjdfwLH23y%2BovwWQa9un%2FdGK%2F5bcFfJfDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqn0sS%2FkEA64MaCF1hXTFnuUPGFTna5wc39cxpsLTi8W%2Br3hl1ddtdDEIo6lYANZaAyHVRGvaoKLESwQVAZJSxmN8xFiiHki%2FIAhpKNJriFwE3Z932nS4Eebj8%2Bq0sKo4qpw%2BL9X3%2FpWH65CdiZ%2FHAthz9fRaHUHZ%2FbSJboFFxVjciGySsW07sj4c09q3J6ivQPXfL4wYhllpBXGsslA%2F0vcN2a5JDLiJFWyaNb0emzMQnDY0UJSnRbCzRv1DLh1bAqMYKXE16qg6LIIYg3p%2Bh83G%2B1i%2FPidTrI6qhcSOx8MHA35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=84486802551&catId=50004654
7,[무항생제] 한우 다짐육 300g 1등급 이상,19900,5,3,0,1,홍성한우지애,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=dvTPintYTO%2FSfOKTqS3TS%2F%2F%2F%2Fw%3D%3DsoTjtElXcVnP9QCT0t%2FnQTvwXudZ3yp%2Bj4omG9KaSglP7PweNhZb8Ravk1RyMUZFtqNEUGOoKLAO7FnFYHQUr76d0GRuLFxDM%2BfqMQw09CQ%2B54J8UO7LDGXdPU9Do8oyM%2BUMsZr7MfVU%2B4cFbJufs9YpSnqXOrhaRKXQjgR1dX8vcB56nrI2vcIn%2BkrhCaq%2B8OnSdli8QNWCN1zmpkiZVjLzg5LotibZWs96FaOW7%2BneOP0oYFbr1kQPfR4PYNcaQ9WJutI8zVZgPYAZZxIlRyCBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSemITcrt9EDbbU0tR3mPkPtEhX5TYHy0kBBIJ3NLgea3KC7DYGI6FUpLZJfbByb5mwtiJJ9sSOnrM9moGaIQ6fxgeXrOCH6Gf5XS2HjEa3ubQEKpoHjaihT%2B1uG6tftuQQZvKSI0mOyOF4iA9U45gkOb4TAyWhXRv5OUz%2FL4geO%2FuPGMmsgNj3aJADSPU2EB%2BmUF2CyixZtYmsL2qt3GK3TGr7VAb36ErED7xDOmVlGU6%2F3S%2FPIERGuDUiuYlJG35Ssx2rSYLaKaMCZRvVLnZjui9JBXdqbkt%2FmewsKXIekFhhWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=9306847192&catId=50004654
8,[무항생제] 한우 이유식 냉장 다짐육 300g 1등급 이상 (6구트레이),19900,499,85,17,1,홍성한우지애,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=QSGWv%2FC%2B7m7RMgsHnCDWl%2F%2F%2F%2Fw%3D%3DszmHCEmIifEFC3PcE28qgD1oB%2FYyKhwmQ6M%2BjYXAZjLT%2Bohq90wKPLRDvr94SKjzE%2BVIwtudv2wydHAEzFt3AnAyJO0vBT5Czy%2B%2FxlHusts5VXemfpmeX70wC2wQT5nyiBte2Da%2BcRSMmzTx7XU%2B5wBH8QkjIN8o8%2BpCaasoq66QYVsI766WN%2Bsx%2BCw%2BXjSpF%2FOe6kUErPHUnPcs24hQkKbuVw3GdaDAvxDSjC3cnt2Z%2F22ms%2BW8TiQQNz%2FOHMMFFDZ%2BDEoWVHgFVs3BrLpy80Bg1bwUqDyCRdjOJQZPgXfaAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FXvqk7sNDecAlci0kfisbqGycd4ORRpNQ72fqFTf%2Fuz%2FIvqsuIvkWBzuDvD5f3gldMAQwKLsGKKpfzRk2OJIqEPCgyt%2FXXfk08Hj1%2FizOSkElK9wLBgUuDosP3gAB%2FiKDPGNC%2Bx2TPmxLibZhJJNvVQ0kl81ezoiVcWM5ktwr0lC0F90mFk0QE7qJp1gwt24jIgLXfrZaiohE%2Bt3%2FnS8WjQessWmkb4CzwSMh34qDVKuSMKoAZxAeW7QCYv%2Boz2Z13zAcdHLf8R1bT%2FqK3%2FhrcjUeYlYxPbC14nNoITbZ3RzvR1QnTJNJXxTQoamUQhCeTY%2Fz6FTUdMqKVyZhRK1yA7HICEQpPL7Rm%2B2fyhjEhHR&nvMid=9307316580&catId=50004654
9,1++등급 한우 다짐육 300g / 이유식,22500,10,,3,1,신풍한우마을,3300,,,,,https://cr.shopping.naver.com/adcr.nhn?x=m9BaKEsk4I9lNp36TLmnK%2F%2F%2F%2Fw%3D%3DsKANfyTsiTRch%2FrMGJPoUmML7rGz9SeOfGGF%2FMLN6GlMw0b%2FX32UjGonFLbhHu5mUktrg1OYDsIvnbWERXOEN4jKhFmci4NkfBN6mtEjoa4fDpmNu2Rs3tEPrV0ZTODsb7JQtrMqSgEftbsAH7BzOjtfRWwGZuDc6Jhu2ZUWUCyrxFYr8To9sSDPXGiJRrQyxhSsUNhqG1UibVNZu2CZLykS%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WO1qAjlDyrWWNTlSM5hWtejeovwWQa9un%2FdGK%2F5bcFfJfDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqnz%2FP8SodWPstavFn0SpAirdoo82U6mpyNSEIbYM1mLgtqHtwa5toZRJGf%2FxebAOEpifdMcUm%2Fxs%2BmDNVV%2BuRCvN81WjUpxJVJrN5mDsz4Bp79rPB5wBnC9gNbPiF7FkEgC92yqkafu2cvJkymlZYIC%2BEmBElMljtKxcajKJcya%2Fr%2FGzUewWLpU8ri6Cys%2B%2BbLS%2BzGthH0yVYJLqvgdHA1M9XM9OvGyUcg%2BzMP9Vh77%2BtP00zbUVUA2PQuCCMTN%2Fihh5aISDEvgmaGeWi13c6DDSUhr1tBwfWz2fCwaMuAPrDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=11826289017&catId=50004654
10,초록마을 [초록마을]무항생제한우다짐육(300g),24920,7,,1,0,G마켓,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=5Z1sKTsueKzBQ6VCcEPV4v%2F%2F%2Fw%3D%3DsassD8A5Dc%2Bgy5ratuLGN3ZkLjeMbnlgpx1iegWr5htow0b%2FX32UjGonFLbhHu5mUNx2oRPs6TUf1HMemgAccpUza0Dsfp7q%2BWTYwtAWMVcfDpmNu2Rs3tEPrV0ZTODsb7JQtrMqSgEftbsAH7BzOjtfRWwGZuDc6Jhu2ZUWUCyrxFYr8To9sSDPXGiJRrQyx9206Pe%2FPvdnNvJ%2FXgat%2B0xwjWpYvNgLjiG0HhNz8r7ZTHG9e0sA%2FeBePoi%2BFlBkWgwUqMVXes84r51yPNjqiOu8qUP4ELLl%2B7ouBdW%2BdmrJ2FO5tqp3vPJBi1xkzR4uzk8cc59m1BOeio2g4sehygHIw9eK5OjlgcW407U1D0mgYNW8FKg8gkXYziUGT4F32gGwmPNX%2Fe%2BXkuZ30duRQYj%2FN1gL%2FBgCKENDMCz1nm%2F1HPkuP0pwBBNeX6d4WX8Fb8mih%2F4LJRHIowEnodhZo%2FEuy%2B5zTk79Lxcuk6UbNR5GLZImMBR2Bvg1ZMyaMB0zuBgzDUAs0LfkDTXyK8bzl5jIwJ6ta8trmNzKr370NfUvn4ksd24iA2hg%2BRDSLfuU9mF%2BL1zUd4S4f1fWHkAz5Su%2Bqx3ieRu2wE926mb2W7zrRqEtdVrs34RVewo%2B%2BLrksdCOQblXY2tOqDMP3XByvWi2BsK7pfXIVYAsZaGIHRVzt5FhYklWY73LwcBiW7IW4jo0HfNHYZkX4btLD1L3TQ8tVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=29997675719&catId=50004654
